text,amount,category,payment_method,payment_provider,bank_account,text_source
Auto-pay for gold 12818 via Visa,12818,investment,card,,,ocr_receipt
Udemy ko 56312 transfer kiya jupiter ke through.,56312,Education,upi,NA,jupiter,ocr_upi
Invested 28649.95 in gold using Fi Money.,28649.95,invstment,upi,fi,fi,english
13165 for personal loan EMI paid from,13165,emi,unknown,,,hinglish
   17180 fees ka payment kar diya credit card pe   ,17180,education,upi,cred,,hinglish
"friend paid the bill, so sent my half of 7577 via CRED",7577,friends,upi,cred,,english
Uber ticket 9020 pay kiya through slice from IDFC,9020,travel,Upi,slice,Slice,voice
Netmeds consultation 18844.55 paid with Fi Fi,18844.55,healthcare,upi,fi,fi,ocr_upi
paid 2671 to Zomato Gold via gpay,2671,entrtainment,upi,gpay,,voice
coaching ki book 39081 ki li Fi Money se,39081,utilities,upi,fi,Fi Money,voice
doctor pe 17443 ka payment Kotak card se,17443,healthcare,card,,kotak,hinglish
Zomato Gold recharge 1805 BOB niyo,1805,entertainment,upi,niyo,niyo,ocr_upi
37551 for car loan EMI through CRED,37551,emi,upi,cred,,english
19223 for credit card EMI through CRED,19223,emi,upi,cred,,english
11634 ki home loan EMI bhari Niyo ke through,11634,emi,upi,null,niyo,hinglish
crypto SIP of 17542 paid using Niyo,17542,savings,upi,niyo,niyo,ocr_upi
Booked upGrad course for 15240 with cash,15240,education,cash,,,english
"Karan ka birthday treat, 4861 contribute kiya cash",4861,Friends,cash,,,hinglish
Just paid 29739 at Myntra,29739,shopping,unknown,,,english
Bewakoof online order 7263 paid by CRED,7263,Shopping,upi,nan,,ocr_receipt
28486 gone for EMI,28486,emi,unknown,,,english
installment ka installment 31928 paytm pe de diya,31928,emi,upi,paytm,,hinglish
"Bhai, wifi bill ka bill clear kar diya 2833 ka, Niyo ke card se",NA,Utilities,upi,fi,Niyo,hinglish
33074.55 for education loan EMI paid from Canara Bank,33074.55,loans,unknown,,canara,hinglish
mutual fund SIP pe 31814.00 ka contribution Paytm se,31814.00,investment,upi,paytm,,ocr_receipt
Booked Yatra ticket for 2207 via bhim.,2207,commute,upi,bhim,,english
  4906 sent to flatmate for weekend plan expenses using PayTM ,4906,peer,UPI,gpay,,english
Fees for Udemy 49554 paid by niyo,,utilities,upi,niyo,niyo,english
Cash payment of 8674 at lab test,8674,healthcare,cash,,,ocr_upi
Paid 11290 to upGrad from Jupiter,11290,Education,upi,null,jupiter,english
"Cleartrip flight booking 14695, paid by Slice.",14695,travell,upi,null,slice,english
  Google Pay use karke bike loan EMI ka 13436 dedo   ,13436,emi,upi,gpay,,hinglish
woh 8739.17 jo roommate ne manga tha paid by Google Pay,8739.17,friends,upi,gpay,,voice
bhai brother ko cash diya 1799 wapas,1799,friends,cash,,,voice
SonyLIV annual plan 2821.13 from Axis Bank account,2821.13,Entertainment,unknown,,axis,english
Monthly Airtel recharge 2685 paid by Visa,2685,utilities,card,,,english
Transferred 46965.22 to my mutual fund SIP from RBL Bank.,46965.22,investment,unknown,,rbl,english
main 4442 doctor ko Visa se de diya,4442,healthcar,card,,,voice
None,0.01,investment,card,,,voice
"installment due cleared, 2448.54 from Mastercard",2448.54,emi,CARD,,,english
course course fee 9511.23 transferred via gpay,9511.23,school,upi,--,,voice
exam fee pe 29396 ka payment CRED kiya,29396,eduation,upi,cred,,hinglish
Visa through Canara Bank for Ajio 22768.32,22768.32,retail,card,,canara,ocr_upi
school fees ka payment 1529 cash se kar diya,1529,school,cash,,,voice
25726 for EMI paid from ICICI,25726,EMI,unknown,,icici,hinglish
Invested 18323 in recurring deposit via paytm,18323,investment,upi,paytm,,ocr_upi
EMI for education loan EMI - 36302.16 using card,36302.16,emi,card,,,english
Paid 5480 to roommate using cash.,5480,friends,cash,,,ocr_upi
24702.63 gold mein daale via Niyo,24702.63,investment,upi,niyo,niyo,hinglish
concert movie tickets 2058 cred,2058,entertainment,upi,cred,,english
4823 for water bill using card card,4823,utilities,CARD,,,english
main personal loan EMI ka installment 21203 paytm se de diya,21203,EMI,upi,paytm,,voice
cash se Hotstar ki annual plan leli worth 1913.77,1913.77,Entertainment,Cash,,,hinglish
Priya recharge of 4533 via Slice.,4533,friends,upi,slice,slice,ocr_upi
broadband payment of 2647.15 using Axis Bank Fi,2647.15,utilities,upi,,axis,ocr_receipt
Medical bill of 2518.84 at diagnostic center via card,2518.84,healthcare,card,,,ocr_upi
Just paid 21844 at Reliance Digital,21844,shoping,unknown,,,english
Tuition ke 59424 de diye yaar,59424,school,unknown,,,hinglish
  SonyLIV pe movie dekhne ka 2570.91 spend kiya  ,2570.91,entertainment,unknown,,,hinglish
Petrol 8944 at Ola.,8944,travel,unknown,,,english
IRCTC se 992 ka recharge karaya.,992,cab,unknown,,,english
Payment to Box8 for 1900 using cash,1900,food,cash,,,ocr_upi
Groww SIP deduction of 6636 by PhonePe.,6636,investment,upi,phonepe,,english
aaj doctor fees 14368 cash mein de aaya,14368,Health,cash,,,voice
None,2756.49,Utilities,card,,,hinglish
Zara purchase for 3881 using Niyo,3881,shopping,upi,niyo,niyo,ocr_upi
3549 Netmeds ko transfer kiya phonepe se,3549,medical,upi,phonepe,,hinglish
"  school fees se material mangaya, 4523.83 diye debit card se ",4523.83,education,card,,,hinglish
Dentist visit 14377 done through GPay.,14377,hospital,upi,gpay,,english
1720 deducted for Netflix via UPI phonepe,1720,entertainment,upi,phonepe,,ocr_receipt
  rent ka bill pay kiya 3909.99 Fi se  ,3909.99,utilities,upi,fi,fi,hinglish
dentist consultation fee 2453 Fi Money pe.,2453,emi,upi,fi,Fi Money,english
Recharged rent for 4162 with BHIM,4162,utilities,upi,bhim,,english
"658 debited for cafe order, cash",658,food,card,,,ocr_upi
"  HP petrol flight booking 10156, paid by Niyo.  ",10156,travel,Upi,niyo,niyo,english
Ananya paid back 4758 via niyo,4758,freind,upi,niyo,niyo,ocr_receipt
Spent 881 on food from dhaba with slice,,food,upi,slice,slice,english
DTH recharge recharge of 4735 with Paytm,4735,utilities,upi,paytm,,english
Food delivery Haldirams 2378.25 bhim,2378.25,dining,upi,bhim,,ocr_upi
checkup ka bill 16156 cash pe clear kiya,16156,pharmacy,cash,,,hinglish
Netflix concert ticket 282 paid by jupiter,282,None,upi,jupiter,Jupiter,voice
Charged 22126 to Bewakoof from Union Bank account using cash,22126,nan,cash,,union bank,english
wifi bill pe 3711.17 spend kiya using CRED,--,recharge,upi,cred,Fi Money,hinglish
56720 for coaching books on cash,56720,education,cash,,,english
14355.67 for lab/medicine at dentist via cash,14355.67,healthcare,cash,,,ocr_upi
Steam annual plan 431.87 from PNB account,431.87,OTT,unknown,,pnb,english
17911.35 gone for home loan EMI,17911.35,installment,unknown,,,english
Dentist visit 1716 done through cash.,"1,716.00",healthcare,cash,,,english
broadband ka bill 2470 Jupiter se diya,2470,utilities,upi,jupiter,Jupiter,hinglish
EMI ke liye 24756 ka payment kardia cash pe,24756,EMI,cash,,,hinglish
164.86 Yatra driver ko cash diya,164.86,travel,cash,,,hinglish
jupiter se Apple Music ki annual plan leli worth 278,278,entertainment,upi,NA,jupiter,hinglish
bhai SonyLIV ka bill 158.90 de diya cash pe,158.90,entertainment,cash,,,voice
sovereign gold bond account mein 29153 daale from Canara Bank,29153,mutual fund,unknown,,canara,hinglish
"Rahul ne 2844 maanga tha, wapas kiya bhim pe",2844,friends,upi,null,,hinglish
JioCinema annual plan 2580 from Slice account,2580,entertainment,upi,slice,Slice,english
   Uber booking amount 6628.68 with ICICI Fi Money   ,6628.68,travel,upi,fi,icici,ocr_receipt
rent bill 582.01 done via Fi Money,582.01,utilities,upi,fi,fi,english
FD SIP auto-debit 39764.92 ho gaya,39764.92,investment,card,,,hinglish
electricity bill ke liye 78 ka payment kia cash se,78,utilities,cash,,,voice
Cash on delivery for Reliance Digital order 18512,18512,shopping,cash,,,ocr_receipt
Booked tickets on Zomato Gold for 292 using card,292,entertainment,card,,,english
  1144 paid via jupiter for Sneha.  ,1144,Friends,upi,jupiter,jupiter,ocr_upi
coaching ke liye 49996 cash se,49996,education,cash,,,english
"roommate se liya 2365 for cab share, Niyo se",2365,friends,upi,niyo,niyo,hinglish
nan,1529,utility,upi,niyo,niyo,english
food court 1112 UPI cred,1112,food,upi,cred,,ocr_receipt
  EMI for education loan EMI - 22712.12 using credit card ,22712.12,emi,Upi,cred,,english
aaj dhaba se snack liya 1131.09 ka upi se,1131.09,food,unknown,,,voice
3532 sent to books for coaching using Visa.,3532,education,card,,,ocr_upi
"47101.02 udhar diya tuition ke liye, baad me le lena",47101.02,education,unknown,,,hinglish
EMI 7125.13 to Niyo using jupiter,7125.13,emi,UPI,jupiter,jupiter,ocr_receipt
Deducted 4797 on CRED for Airtel recharge,4797,utilities,Upi,cred,,ocr_upi
  Bought stuff from Reliance Digital for 25763 using Fi ,25763,purchase,upi,fi,fi,english
EMI ke liye 37319 ka payment kardia PhonePe pe,37319,emi,upi,phonepe,,hinglish
transferred 9933.38 to index fund from Union Bank,NA,savings,unknown,,union bank,voice
brother ka 4821 udhaar wapas Slice se,4821,friends,upi,slice,slice,ocr_receipt
bike loan EMI ka installment 15999 cash pe de diya,15999,emi,cash,,,hinglish
auto ke liye 3723.69 cash se diya,3723.69,Transport,cash,,,hinglish
42456 ki Groww ki purchase cash se,42456,invstment,cash,,,hinglish
home loan EMI ka installment 2023.60 clear kardia Visa pe,2023.60,emi,card,,,hinglish
Spotify ka 1059.34 cash se cut gaya yaar,1059.34,entertainment,cash,,,hinglish
wifi bill for 1692.53 using BHIM from Bandhan,1692.53,utilities,upi,bhim,bandhan,english
   doctor 4234 UPI Google Pay.  ,4234,healthcare,upi,gpay,,english
   30838.59 for home loan EMI paid via Niyo   ,30838.59,utilities,upi,niyo,niyo,voice
"Udemy ko 23210 bheje, cash diya",--,eduation,cash,,,hinglish
Sent 1098 for water bill by PayTM from Canara Bank,1098,utilities,upi,None,canara,english
bhim se JioCinema ki annual plan leli worth 392,392,utilities,upi,bhim,,hinglish
"exam fee ko 15755.00 bheje, cash diya",15755.00,education,cash,,,hinglish
Paid lab test 3975.35 from,3975.35,healthcare,unknown,,,ocr_upi
wifi bill payment of 919 using RBL cash,919,utilities,upi,fi,rbl,ocr_receipt
sovereign gold bond ke liye 27479 invest kiya bhai,27479,mutual fund,unknown,,,hinglish
concert recharge 2980 HDFC Bank PayTM,2980,entrtainment,upi,paytm,hdfc,ocr_upi
UPI payment to Neha for 3353 using cash.,3353,friends,cash,,,ocr_upi
"Reliance Digital order paid, 14166 deducted via BHIM",14166,shopping,upi,bhim,,hinglish
"Neha ke liye book mangaayi, 9058.02 advance diya",-9058.02,friends,unknown,,,hinglish
aaj rent ka bill gaya 2409 cred se,2409,utilities,upi,cred,,voice
   For checkup at physio 4859 rupees jupiter se.  ,4859,healthcare,upi,jupiter,jupiter,english
HP petrol ke ticket ke liye 10500 pay kiya slice pe,10500,fuel,Upi,slice,slice,hinglish
4422 gone for installment,4422,emi,unknown,,,english
Paid 1128 at concert with cash,1128,Entertainment,cash,,,english
694 eye clinic pe kharch hua cash se,694,pharmacy,cash,,,hinglish
871 spent at canteen with cash,871,food,cash,,,ocr_upi
Apple Music ke liye 679.06 ka recharge from ICICI Bank with PhonePe,679.06,entertainment,upi,phonepe,icici,voice
43923 spent on stationery using Niyo,43923,education,UPI,niyo,niyo,english
Netmeds par 14513 ka bill Mastercard se,14513,healthcar,card,,,ocr_upi
diagnostic center ke liye 14591.39 pay kiya cash se,14591.39,healthcare,cash,,,hinglish
DTH recharge bill paid 4741 using Yes Bank card,4741,utilities,card,,YES BANK,voice
Paid 12135 for Udemy fees via debit card from Union Bank.,12135,education,card,,union bank,ocr_upi
PVR ka 2165 Jupiter se cut gaya yaar,2165,entertainment,upi,jupiter,jupiter,hinglish
school fees 45435.96 debit via cash Fi,45435.96,tution,upi,fi,Fi,ocr_receipt
PharmEasy ka bill 6014 cash diya,6014,medical,cash,,,voice
stocks purchase of 7700 via gpay,7700,investment,upi,gpay,,ocr_receipt
FD ke liye 32300 ka SIP phonepe se diya,nan,investment,upi,phonepe,,hinglish
"  Books ke liye 32520 ka kharcha, cash se  ",32520,education,cash,,,hinglish
  Direct GPay se JioMart ko 814 transfer kiya khane ka  ,814,food,upi,gpay,,hinglish
Lenskart ka bill 22735.96 paid by Phone Pe,22735.96,shopping,upi,phonepe,,voice
"Bhai, kal Haldirams pe 2209 kharcha hua phonepe pe",2209,food,upi,phonepe,,hinglish
concert ka monthly charge 2782 dedo Union Bank card se,-2782,movies,CARD,,union bank,hinglish
Monthly EMI payment of 12333.96 through paytm,12333.96,emi,upi,,,ocr_upi
Fees for fees 5580 paid by Fi,5580,education,upi,fi,fi,english
Apple Music concert ticket 1352.60 paid by Google Pay,1352.60,entertainment,upi,gpay,,voice
36204 deducted for education loan EMI by debit card,36204,emi,CARD,,,ocr_upi
FD ka payment 13817 de diya cash se,13817,mutual fund,cash,,,hinglish
33005 transferred to stocks from ICICI account,33005,investment,unknown,,ICICI Bank,ocr_upi
For checkup at checkup 22902 rupees bhim se.,22902,healthcare,upi,bhim,,english
main Cleartrip ko 9270 pay kiya Mastercard ke through,9270,None,card,,,voice
friend ke birthday gift mein chip in 1363 via slice,1363,friends,upi,slice,Slice,voice
rent recharge 452 kiya Mastercard pe,452,utilities,card,,,voice
"14170 udhar diya coaching ke liye, baad me le lena",14170,tution,unknown,,,hinglish
Bought stuff from Tata CLiQ for 14595.23 using paytm,14595.23,shopping,upi,gpay,,english
diagnostic center net amount 7171 Jupiter,7171,Health,upi,--,jupiter,ocr_receipt
Hospital admission charges 11847 by card.,11847,healthcare,card,,,english
physio 15941 rupees paid with bhim,15941,healthcare,upi,bhim,,ocr_receipt
MakeMyTrip ki cab ke 2547 debit card se transfer kar diye,2547,travel,card,,,hinglish
main ne Arjun ko 7633 bheja on bhim from,null,freind,upi,bhim,,voice
  1543.77 Zomato Gold subscription ke liye de diye   ,1543.77,entertainment,unknown,,,hinglish
EMI for education loan EMI - 25317.55 using bhim,25317.55,EMI,upi,bhim,,english
UPI payment to upGrad for 41134 using card.,41134,school,card,,,ocr_upi
Monthly sovereign gold bond auto-debit of 40761 via cred.,40761,investment,upi,cred,,english
stocks ke liye 37592 invest kiya bhai,37592,savings,unknown,,,hinglish
"restaurant se biryani mangwai, 1843.77 pay kiya Slice card se",null,food,upi,,Slice,hinglish
Air India ke liye 2696.34 PhonePe se diya,2696.34,travel,upi,phonepe,,hinglish
BookMyShow ke liye 836 ka recharge from HDFC with PayTM,836,entrtainment,upi,NA,hdfc,voice
"Lunch at Dominos for 1439.51, paid by slice",0,Food,upi,slice,slice,hinglish
Fees ka 55630 pay kardiya,55630,school,unknown,,,hinglish
"Went to Spotify, spent 1005.85, paid by niyo",1005.85,entertainment,upi,niyo,niyo,english
"friend paid me back 3259 for the concert, got it in Yes Bank via cash",3259,friends,CASH,,YES BANK,english
lab test 2034 rupees paid with CRED,2034,pharmacy,upi,cred,,ocr_receipt
"1549 Cleartrip ko diya for booking, paid via Visa",1549,travel,card,,,hinglish
"Croma order paid, 24473 deducted via cred",NA,shopping,upi,cred,,hinglish
5286 gone for installment,5286,loan,unknown,,,english
brother se 2285.06 wapas liya cash mein,2285.06,friends,cash,,,hinglish
PPF auto debit of 41072 successful on cash,41072,savings,card,,,ocr_upi
Chipped in 8718 for Karan's gift via BHIM,8718,friends,upi,bhim,,english
"Lunch at cafe for 345, paid by cash",345,food,CASH,,,hinglish
"1497 rupee Blinkit ke liye nikle, Niyo use kiya",1497,restuarant,upi,niyo,Niyo,hinglish
  SonyLIV pe 1571.45 ka payment Visa se kar diya ,1571.45,entertainment,CARD,,,voice
"installment kharcha, 34579 via slice",34579,emi,upi,slice,slice,ocr_upi
   Indian Oil travel expense 1376 deducted from Slice   ,1376,travel,upi,slice,slice,hinglish
25942 invested in gold today.,25942,savings,unknown,,,english
23326 for lab/medicine at diagnostic center via cash,23326,healthcare,cash,,,ocr_upi
Box8 pe 623.45 ka bill bhim kiya,623.45,foods,upi,bhim,,hinglish
  Netflix 896 cash Fi   ,896,entertainment,UPI,fi,fi,ocr_upi
  fees subscription renewed 50300 via debit card  ,50300,education,card,,,english
  apne Federal Bank account se doctor ko 8175 transfer kiya   ,8175,healthcare,unknown,,Federal Bank,voice
"Bhook lag rahi thi, JioMart se 1980.53 ka order cash se kiya",1980.53,food,cash,,,hinglish
Monthly water bill 2372 Jupiter,2372,utilities,upi,jupiter,Jupiter,ocr_receipt
Had to pay Netmeds 20804.29 using cash from ICICI Bank.,20804.29,Health,cash,,icici,english
car loan EMI ka installment 35172.52 credit card pe de diya,35172.52,emi,upi,cred,,hinglish
Recharged concert for 1359 on gpay,1359,entertainment,upi,gpay,,english
431 deducted for BookMyShow subscription,431,entertainment,unknown,,,english
stationery ka payment 57021.35 BHIM se kar diya,57021.35,education,upi,bhim,,voice
sister borrowed 2277 gave cash back,2277,p2p,cash,,,voice
Rapido ke liye 1814 ka payment card se kiya.,1814,cab,card,,,english
Croma pe shopping kiye 22383.13 Fi se,22383.13,Shopping,upi,nan,Fi,hinglish
2928.33 for gas bill using cash card,2928.33,recharge,card,,,english
Bill payment for Jio recharge of 1616 via PayTM,1616,utilities,upi,--,,ocr_upi
brother ka 5885 udhaar wapas cred se,5885,p2p,upi,cred,,ocr_receipt
Indian Oil ticket 10448 pay kiya through BHIM from Union Bank,10448,travell,upi,NA,union bank,voice
mobile recharge ke liye 3355 ka payment kiya niyo se,3355,utilities,upi,NA,niyo,hinglish
aaj Priya ne 4616.50 phonepe kiya wapas,4616.50,friends,upi,phonepe,,voice
Recharged dentist app with 24871 via Slice.,24871,healthcare,upi,slice,slice,english
None,823,dining,upi,cred,,ocr_receipt
Paid 1880 at SonyLIV with CRED,1880,Entertainment,upi,cred,,english
paid 395 for HP petrol via debit card upi,395,travel,card,,,voice
sister ke liye 3438.38 ka bill PayTM se clear kiya.,3438.38,freind,upi,paytm,,ocr_upi
main credit card EMI ka 11657 de diya card se,11657,emi,upi,cred,,voice
bhai ne manga liya Reliance Digital se 632 Mastercard kiya,632,shopping,card,,,voice
Cleartrip for 5759 using Phone Pe,5759,travel,upi,phonepe,,voice
"friend se liya 7932 for cab share, cash se",7932,education,cash,,,hinglish
Recharged wifi bill for 4725 with card,4725,utilities,upi,fi,Fi,english
Recharged Jio recharge for 3213.24 with Jupiter,3213.24,utilities,UPI,jupiter,Jupiter,english
"Ugh, Airtel recharge ka bill aagaya tha, 4745 de diye slice pe",4745,recharge,upi,slice,slice,hinglish
"   roommate paid the bill, so sent my half of 8483 via Slice  ",8483,investment,upi,--,Slice,english
42839 gold mein daale via Fi,42839,investment,upi,fi,Fi,hinglish
Mastercard use karke home loan EMI ka 20198.78 dedo,20198.78,,card,,,hinglish
434.91 deducted for SonyLIV subscription,434.91,entertainment,unknown,,,english
Bought PPF units worth 33823 with GPay.,33823,mutual fund,upi,gpay,,english
"7041 repaid to Arjun for the book, used cash",7041,friends,cash,,,english
bhai SonyLIV ka bill 2655 de diya card pe,2655,entertainment,card,,,voice
dhaba mein cash diya 1842 chai ke liye,1842,foods,cash,,,voice
41387.93 transferred for index fund via cash.,41387.93,investment,cash,,,english
paid 37879 for gold via Niyo,37879,invstment,upi,None,niyo,voice
"Jio recharge ka recharge kiya hai 3752 ka, cred pe",3752,utilities,upi,cred,,hinglish
cash ke through Reliance Digital ko 26306 diya,26306,retail,cash,,,hinglish
Coursera ka payment 8600 cash se kar diya,8600,education,cash,,,voice
"14370 ka course liya course pe, card se payment hua",14370,education,Card,,,hinglish
concert ke liye 415 ka payment debit card se kiya,415,entertainment,card,,,hinglish
upGrad subscription renew 12904.93 BHIM,12904.93,education,upi,NA,,voice
35616 transferred for fees course fee,35616,education,unknown,,,english
Slice to dentist for 5720.,5720,healthcare,upi,slice,slice,english
food court order for 1717 using card,1717,food,card,,,english
"Karan ka birthday treat, 4084.09 contribute kiya cash",4084.09,peer,cash,,,hinglish
"Online order on Flipkart for 22642.41, paid by cred",-22642.41,purchase,upi,cred,,english
cash se friend ko 7471 transfer.,7471,friends,cash,,,ocr_upi
Angel One ke liye 46561.65 invest kiya bhai,46561.65,investment,unknown,,,hinglish
main upGrad ke liye 32851.78 pay kiya Federal Bank card se,32851.78,healthcare,card,,federal bank,voice
3883 transferred to wifi bill from via cash,3883,utilities,UPI,,fi,ocr_upi
"Bhai, personal loan EMI ka 25665.18 de diya cash se",25665.18,emi,cash,,,hinglish
Lab test 16368 via cash,16368,healthcare,cash,,,ocr_receipt
