text,amount,category,payment_method,payment_provider,bank_account,text_source
recurring deposit ke liye 18104 ka payment PayTM kiya,18104,investment,upi,paytm,,voice
12736 paid for lab tests at hospital using Axis bhim.,12736,healthcare,upi,bhim,axis,english
"9666 Rapido ko diya for booking, paid via cash",9666,travel,cash,,,hinglish
Snacks Haldirams 1414 bhim,1414,food,upi,bhim,,ocr_upi
Cleared credit card EMI for 3848,3848,emi,upi,cred,,english
Paid 2188 for KFC using niyo from Kotak Mahindra,2188,food,upi,niyo,kotak,ocr_receipt
crypto account mein 36286.32 daale from PNB,36286.32,investment,unknown,,pnb,hinglish
Fi se Priya ko 2480 transfer.,2480,friends,upi,fi,fi,ocr_upi
"639 debited for Behrouz order, cash",639,food,card,,,ocr_upi
upGrad ka payment 26275 credit card se kar diya,26275,education,upi,cred,,voice
credit card EMI ke liye 23818.84 ka payment kardia card pe,23818.84,emi,upi,cred,,hinglish
Rapido 14426 cash payment,14426,travel,cash,,,ocr_receipt
Bought stuff from Reliance Digital for 4781 using Fi,4781,shopping,upi,fi,fi,english
sovereign gold bond SIP auto-debit 47561 ho gaya,47561,investment,card,,,hinglish
IndiGo ki app se 11020.46 ka ticket liya gpay se,11020.46,travel,upi,gpay,,hinglish
Paid 38630 to Jupiter for home loan EMI by Mastercard,38630,emi,upi,jupiter,jupiter,ocr_receipt
Quick bite BigBasket 2272 niyo,2272,food,upi,niyo,niyo,ocr_receipt
Monthly home loan EMI of 14177.09 paid via card,14177.09,emi,card,,,hinglish
HP petrol travel expense 2171.75 deducted from YES BANK,2171.75,travel,unknown,,yes bank,hinglish
"1530.18 debit hua INOX ke liye, payment method Fi Money",1530.18,entertainment,upi,fi,fi,hinglish
index fund purchase of 45206 via card,45206,investment,card,,,ocr_receipt
"Arjun ne 3086.69 maanga tha, wapas kiya niyo pe",3086.69,friends,upi,niyo,niyo,hinglish
Sent 3250 for Jio recharge by BHIM from Axis,3250,utilities,upi,bhim,axis,english
Reliance Digital 3809 cash,3809,shopping,cash,,,ocr_receipt
gold ki installment 21760 HDFC card se pay ki,21760,investment,card,,hdfc,hinglish
upGrad pe 46737 ka payment Slice kiya,46737,education,upi,slice,slice,hinglish
EMI ka EMI 26695 auto debit hogaya,26695,emi,card,,,hinglish
main ne Rahul ko 9490.63 bheja on Niyo from ICICI,9490.63,friends,upi,niyo,icici,voice
electronics store pe shopping kiye 20588 Visa se,20588,shopping,card,,,hinglish
1700 for education loan EMI paid from Niyo,1700,emi,upi,niyo,niyo,hinglish
"cafe bill paid, 103.02 via cash",103.02,food,cash,,,ocr_upi
Lenskart online order 6444 paid by cash,6444,shopping,cash,,,ocr_receipt
454 JioCinema subscription auto-debit ho gaya via Niyo,454,entertainment,upi,niyo,niyo,hinglish
HP petrol 9691 paid by debit card from ICICI Bank,9691,travel,card,,icici,ocr_receipt
Lenskart ke liye 13734 ka payment cash se kiya,13734,shopping,cash,,,english
phonepe se Haldirams ko 1044 transfer kiya lunch ke liye,1044,food,upi,phonepe,,voice
crypto 3282 payment done with niyo,3282,investment,upi,niyo,niyo,ocr_upi
Zara shopping ke liye 27244 ka payment debit card se,27244,shopping,card,,,hinglish
Netflix subscription 1666 paid with PayTM,1666,entertainment,upi,paytm,,ocr_receipt
books coaching ka advance 36154 dedo,36154,education,unknown,,,hinglish
sovereign gold bond mein 40434 add kiye using CRED,40434,investment,upi,cred,,voice
Tuition ke 1215.79 de diye yaar,1215.79,education,unknown,,,hinglish
Quick bite Box8 510 cash,510,food,cash,,,ocr_receipt
Paid 1964.86 for restaurant using cash from Punjab National Bank,1964.86,food,cash,,pnb,ocr_receipt
BookMyShow movie 2133 mein book kardi account se,2133,entertainment,unknown,,,hinglish
Paid tuition fees 32291.16 via gpay,32291.16,education,upi,gpay,,english
Bus ticket on metro for 14768.93.,14768.93,travel,unknown,,,english
tuition material 6810 through CRED,6810,education,upi,cred,,english
friend ko diye 568.01 PayTM ke through.,568.01,friends,upi,paytm,,ocr_upi
Tuition fees 12592 Axis card,12592,education,card,,axis,ocr_receipt
"friend se liya 7932 for cab share, cash se",7932,friends,cash,,,hinglish
stationery course fee 4811 paid with PayTM.,4811,education,upi,paytm,,ocr_upi
"Lent 382 to Arjun for shopping, PayTM",382,friends,upi,paytm,,english
PhonePe se Netflix ko 1147 ka payment,1147,entertainment,upi,phonepe,,ocr_upi
Ordered biryani from Dominos 2292 paid by credit card,2292,food,upi,cred,,english
881.01 SonyLIV subscription ke liye de diye,881.01,entertainment,unknown,,,hinglish
4641.77 ka gas bill payment done via Jupiter,4641.77,utilities,upi,jupiter,jupiter,hinglish
NPS SIP deduction of 6117 by Slice.,6117,investment,upi,slice,slice,english
gas bill recharge ho gaya 4849.03 ka from Fi Money,4849.03,utilities,upi,fi,fi,hinglish
Pizza from McDonald's for 1211 on debit card,1211,food,card,,,english
main 23038.14 pharmacy mein de aaya cash,23038.14,healthcare,cash,,,voice
"Priya paid the bill, so sent my half of 8188 via Google Pay",8188,friends,upi,gpay,,english
"Subway ka online order, 1863 debit hua cash se",1863,food,card,,,hinglish
10971 Indian Oil driver ko cash diya,10971,travel,cash,,,hinglish
i just put 6131.59 in gold from RBL,6131.59,investment,unknown,,rbl,voice
PVR pe movie dekhne ka 972.21 spend kiya,972.21,entertainment,unknown,,,hinglish
Coursera subscription renew 41312.73 cash,41312.73,education,cash,,,voice
Booked Spotify tickets for 2628 by Fi Money,2628,entertainment,upi,fi,fi,ocr_receipt
18891 diagnostic center pe kharch hua Jupiter se,18891,healthcare,upi,jupiter,jupiter,hinglish
Subway bill paid 96 via Visa,96,food,card,,,english
Netmeds ke liye 7025 spent from Fi Money card,7025,healthcare,upi,fi,fi,voice
"Split the hotel cost with Rahul, my part 681.82 cash",681.82,friends,cash,,,english
FD 49476.42 payment done with jupiter,49476.42,investment,upi,jupiter,jupiter,ocr_upi
Udemy subscription renew 30204.50 jupiter,30204.50,education,upi,jupiter,jupiter,voice
Spotify movie 129 mein book kardi Canara Bank account se,129,entertainment,unknown,,canara,hinglish
2633 Netflix subscription auto-debit ho gaya via Slice,2633,entertainment,upi,slice,slice,hinglish
2341 spent on concert subscription cash,2341,entertainment,cash,,,ocr_receipt
"2194 debited for restaurant order, gpay",2194,food,upi,gpay,,ocr_upi
NPS pe 45900 ka order confirm Niyo se,45900,investment,upi,fi,niyo,hinglish
Nykaa order 7243 paid by PayTM,7243,shopping,upi,paytm,,english
"auto ne 6580.80 ka ride liya, payment slice se",6580.80,travel,upi,slice,slice,hinglish
renewed BookMyShow for 134 rupees used Visa,134,entertainment,card,,,voice
Booked course course for 18044 with phonepe,18044,education,upi,phonepe,,english
Had to pay hospital 15283 using cred from .,15283,healthcare,upi,cred,,english
Scanned & paid 23158.19 at Nykaa via slice,23158.19,shopping,upi,slice,slice,ocr_receipt
Cash on delivery for Flipkart order 13207.64,13207.64,shopping,cash,,,ocr_receipt
aaj diagnostic center mein 23765 ka payment kiya cash se,23765,healthcare,cash,,,voice
Charged 18402 to H&M from Union Bank account using GPay,18402,shopping,upi,gpay,union bank,english
main Rapido ko 5194 de diya cash me,5194,travel,cash,,,voice
MakeMyTrip travel expense 10551 deducted from Slice,10551,travel,upi,slice,slice,hinglish
car loan EMI ka installment 38774.23 clear kardia Visa pe,38774.23,emi,card,,,hinglish
Just paid 7927 at mall,7927,shopping,unknown,,,english
Ola ke liye 13149.15 ka payment cash se kiya.,13149.15,travel,cash,,,english
bhai ko upGrad ke liye 45596.49 diya cash se,45596.49,education,cash,,,voice
49098 invested in mutual fund SIP through,49098,investment,unknown,,,ocr_upi
"7256 repaid to Sneha for the book, used Jupiter",7256,friends,upi,jupiter,jupiter,english
Coursera subscription 34716.48 paytm,34716.48,education,upi,paytm,,ocr_receipt
Direct slice se Behrouz ko 2253 transfer kiya khane ka,2253,food,upi,slice,slice,hinglish
Spent 649.64 on Spotify with cash,649.64,entertainment,cash,,,ocr_upi
Paid 5569.55 to metro via gpay,5569.55,travel,upi,gpay,,ocr_upi
4246 for medicines at physio cash payment.,4246,healthcare,cash,,,english
"Karan paid the bill, so sent my half of 1728 via paytm",1728,friends,upi,paytm,,english
Paid lab test 939.61 from Punjab National Bank,939.61,healthcare,unknown,,pnb,ocr_upi
Concert ticket booked 2748 cash Niyo,2748,entertainment,upi,niyo,niyo,ocr_receipt
"roommate se liya 4449.78 for cab share, bhim se",4449.78,friends,upi,bhim,,hinglish
Cash 2237 for Spotify,2237,entertainment,cash,,,english
Travel expense 10656 for SpiceJet using cash.,10656,travel,cash,,,english
Spotify monthly 2828.11 wala plan activate cash se,2828.11,entertainment,cash,,,voice
"Lunch at Biryani Blues for 388.61, paid by Fi Money",388.61,food,upi,fi,fi,hinglish
UPI payment of 4274 for broadband via jupiter,4274,utilities,upi,jupiter,jupiter,ocr_upi
Paid 636 at Spotify with cash,636,entertainment,cash,,,english
petrol pump se 4805 ka recharge karaya.,4805,travel,unknown,,,english
Burger King 2092 rupees cash,2092,food,cash,,,ocr_receipt
auto recharge of 13431.37 using Google Pay.,13431.37,travel,upi,gpay,,english
Just paid 35141 for my credit card EMI,35141,emi,upi,cred,,english
Airtel recharge ke paise 4042 kat gaye from Jupiter,4042,utilities,upi,jupiter,jupiter,hinglish
Netflix subscription 897.04 paid with Fi Money,897.04,entertainment,upi,fi,fi,ocr_receipt
water bill ka bill 3216.89 Slice se diya,3216.89,utilities,upi,slice,slice,hinglish
6898 Apollo Pharmacy pe kharch hua debit card se,6898,healthcare,card,,,hinglish
EMI for car loan EMI - 11802.06 using Visa,11802.06,emi,card,,,english
doctor consultation fee 3411.03 cash pe.,3411.03,healthcare,cash,,,english
Recurring payment to FD for 898.88 via BHIM,898.88,investment,upi,gpay,,ocr_upi
Dentist visit 7231.04 done through PhonePe.,7231.04,healthcare,upi,phonepe,,english
Pizza from cafe for 701.98 on cash,701.98,food,cash,,,english
Pizza Hut pe 1919 ka bill cash kiya,1919,food,cash,,,hinglish
2837 ka rent payment done via Paytm,2837,utilities,upi,paytm,,hinglish
PPF monthly 30358 auto-debit on cash,30358,investment,card,,,ocr_receipt
Education fee 26913 paid to coaching using Paytm from HDFC Bank.,26913,education,upi,gpay,hdfc,ocr_upi
Deducted 6458.57 for Goibibo booking.,6458.57,travel,unknown,,,english
Coursera course ki fees 27007 transfer ki State Bank se,27007,education,unknown,,sbi,hinglish
Chipped in 645 for Ananya's gift via Niyo,645,friends,upi,niyo,niyo,english
main installment ka 10993 de diya credit card se,10993,emi,upi,cred,,voice
Cleartrip booking for 14709.95 using debit card,14709.95,travel,card,,,ocr_upi
aaj PVR me 951 kharch kare CRED se,951,entertainment,upi,cred,,voice
Zomato Gold ka monthly charge 2889.06 dedo Canara Bank card se,2889.06,entertainment,card,,canara,hinglish
exam fee ki book 12435 ki li cash se,12435,education,cash,,,voice
merchant ne 21674 liya cash mein for checkup,21674,healthcare,cash,,,voice
"Online order on Nykaa for 22673, paid by cash",22673,shopping,cash,,,english
"Reliance Digital se 1678 ka maal aaya, Visa se pay kiya",1678,shopping,card,,,hinglish
38903 ka home loan EMI bhej diya Mastercard se,38903,emi,card,,,hinglish
"Bhai, Myntra se 17454 ka saman liya cash diya",17454,shopping,cash,,,hinglish
Payment to Zara for 11855 via cash from Kotak,11855,shopping,cash,,kotak,english
Meesho 23594 debit jupiter IDFC First,23594,shopping,upi,jupiter,jupiter,ocr_receipt
"tuition ko 12642.18 bheje, cash diya",12642.18,education,cash,,,hinglish
34970.02 for home loan EMI paid from ICICI,34970.02,emi,unknown,,icici,hinglish
"24190 for Zara order, payment gpay se hui",24190,shopping,upi,gpay,,hinglish
main PVR ke liye 2693.94 pay kiya using cash,2693.94,entertainment,cash,,,voice
Flipkart se 7577 ka bill pay kiya CRED se,7577,shopping,upi,cred,,hinglish
Spent 14377.05 on auto from Fi Money,14377.05,travel,upi,fi,fi,ocr_receipt
9239.28 spent on Myntra via Fi Money,9239.28,shopping,upi,fi,fi,ocr_upi
apne account se eye clinic ko 12688 transfer kiya,12688,healthcare,unknown,,,voice
Ananya ke birthday gift mein chip in 5645 via Fi Money,5645,friends,upi,fi,fi,voice
"Ananya sent 6630 for the cab, received on cash",6630,friends,cash,,,english
PPF ki installment 34476 SBI card se pay ki,34476,investment,card,,sbi,hinglish
30158.16 udemy course liya slice se,30158.16,education,upi,slice,slice,voice
Paid 17140 to coaching from Bandhan,17140,education,unknown,,bandhan,english
1477 SonyLIV subscription ke liye de diye,1477,entertainment,unknown,,,hinglish
"Zepto meal, paid 1953.75 via Jupiter",1953.75,food,upi,jupiter,jupiter,ocr_upi
school fees subscription 2226 cash,2226,education,cash,,,ocr_receipt
main 2774 electricity bill ka bill bhara,2774,utilities,unknown,,,voice
HP petrol ticket 5021.29 pay kiya through cash from IDFC First,5021.29,travel,upi,fi,idfc,voice
13004 stationery ka payment kar diya phonepe pe,13004,education,upi,phonepe,,hinglish
"exam fee ko 12889 bheje, cash diya",12889,education,cash,,,hinglish
transferred 8582 to sovereign gold bond from State Bank,8582,investment,unknown,,sbi,voice
Croma purchase of 7288.87 using Niyo,7288.87,shopping,upi,niyo,niyo,ocr_receipt
lab test ka bill 24480 cash diya,24480,healthcare,cash,,,voice
"sister ne 3658 maanga tha, wapas kiya Google Pay pe",3658,friends,upi,gpay,,hinglish
"HP petrol flight booking 7114, paid by Mastercard.",7114,travel,card,,,english
25398 invested in index fund today.,25398,investment,unknown,,,english
PayTM se BookMyShow ko 702 transfer for entertainment,702,entertainment,upi,paytm,,hinglish
"Yaar, bike loan EMI ka paisa 4146 kat gaya Niyo se",4146,emi,upi,niyo,niyo,hinglish
water bill ka bill pay kiya 1951 debit card se,1951,utilities,card,,,hinglish
"food court ka online order, 2405 debit hua cred se",2405,food,upi,cred,,hinglish
credit card EMI ka 29515 Mastercard se diya,29515,emi,upi,cred,,hinglish
home loan EMI ka EMI 24479 auto debit hogaya,24479,emi,card,,,hinglish
DTH recharge ka 993 ka bill auto-debit ho gaya Fi se,993,utilities,upi,fi,fi,hinglish
aaj mobile recharge pay kiya 3485 from,3485,utilities,unknown,,,voice
Zara shopping ke liye 2617 ka payment debit card se,2617,shopping,card,,,hinglish
Airtel recharge bill 1608.63 done via PayTM,1608.63,utilities,upi,paytm,,english
"For sister's treat, paid 1752.33 by Jupiter from Punjab National Bank",1752.33,friends,upi,jupiter,jupiter,english
Invested 44388 in NPS using CRED.,44388,investment,upi,cred,,english
Croma order 26698.30 paid by BHIM,26698.30,shopping,upi,bhim,,english
Rahul ko 8906 bheje Fi Money se.,8906,friends,upi,fi,fi,ocr_upi
gold pe 47541.70 ka contribution cash se,47541.70,investment,cash,,,ocr_receipt
brother ke saath dinner ka hissa 2089 jupiter kiya,2089,friends,upi,jupiter,jupiter,hinglish
Apple Music annual plan 971.11 from IndusInd account,971.11,entertainment,unknown,,indusind,english
Visa se H&M ko 11421.05 ka payment,11421.05,shopping,card,,,ocr_upi
Pizza from Biryani Blues for 2306.82 on Fi Money,2306.82,food,upi,fi,fi,english
Booked exam fee course for 41720.61 with cash,41720.61,education,cash,,,english
bhai brother ko cash diya 3919.33 wapas,3919.33,friends,cash,,,voice
Allen coaching ka payment 34716 Fi se kar diya,34716,education,upi,fi,fi,voice
DTH recharge payment of 1976 done on cred,1976,utilities,upi,cred,,ocr_upi
sovereign gold bond investment of 12838.88 done,12838.88,investment,unknown,,,ocr_upi
34454 for this month's installment from Indusind Bank,34454,emi,unknown,,indusind,voice
mutual fund SIP SIP of 42597 paid using CRED,42597,investment,upi,cred,,ocr_upi
Ajio pe shopping kiye 28286 cash se,28286,shopping,cash,,,hinglish
aaj BookMyShow me 1408 kharch kare slice se,1408,entertainment,upi,slice,slice,voice
MakeMyTrip recharge 6761 from Bandhan account via bhim,6761,travel,upi,bhim,bandhan,voice
aaj auto par 12370 kharcha hua card se,12370,travel,card,,,voice
Paid 5794 for online course on stationery via paytm.,5794,education,upi,paytm,,ocr_upi
Airtel recharge bill settled via jupiter 1711,1711,utilities,upi,jupiter,jupiter,ocr_receipt
2728 ka wifi bill payment done via BHIM,2728,utilities,upi,bhim,fi,hinglish
Indian Oil se 11031 ka bill clear kiya Google Pay ke through,11031,travel,upi,gpay,,hinglish
Just paid 25686.85 at Tata CLiQ,25686.85,shopping,unknown,,,english
course coaching ka advance 3963 dedo,3963,education,unknown,,,hinglish
"8977.36 for Lenskart order, payment Phone Pe se hui",8977.36,shopping,upi,phonepe,,hinglish
"DTH recharge ka recharge kiya hai 2212 ka, Visa pe",2212,utilities,card,,,hinglish
Paid 700.63 to JioCinema via cash,700.63,entertainment,cash,,,ocr_receipt
Hotstar recharge for 2745 via Phone Pe,2745,entertainment,upi,phonepe,,ocr_receipt
Udemy subscription renew 15806 PayTM,15806,education,upi,paytm,,voice
"Reliance Digital ka order 16267 mein, paid by PhonePe",16267,shopping,upi,phonepe,,hinglish
phonepe se Karan ko transfer 6018 for movie tickets,6018,friends,upi,phonepe,,voice
aaj auto par 3815 kharcha hua card se,3815,travel,card,,,voice
"Zara pe 5948 spend kare, Niyo ke saath",5948,shopping,upi,niyo,niyo,hinglish
Priya recharge of 8305.33 via cash.,8305.33,friends,cash,,,ocr_upi
2086.16 ka DTH recharge payment done via cred,2086.16,utilities,upi,cred,,hinglish
paid 6859.40 for monthly sovereign gold bond from ICICI Bank account,6859.40,investment,unknown,,icici,voice
Subway order 1625 via paytm,1625,food,upi,paytm,,ocr_receipt
Charged 16323 to Ajio from Niyo account using cash,16323,shopping,upi,niyo,niyo,english
Recharged lab test app with 1552 via CRED.,1552,healthcare,upi,cred,,english
12435 spent on Air India through Punjab National Bank card.,12435,travel,card,,pnb,english
"91 udd gaya Dominos pe khane mein, cash diya",91,food,cash,,,hinglish
7691.39 sister ko diya for movie tickets via CRED,7691.39,friends,upi,cred,,hinglish
3178 Coursera ka payment kar diya card pe,3178,education,card,,,hinglish
BookMyShow monthly 680 wala plan activate credit card se,680,entertainment,upi,cred,,voice
"For brother's treat, paid 8266 by PayTM from ICICI Bank",8266,friends,upi,paytm,icici,english
Rapido 8631.74 paid by jupiter from,8631.74,travel,upi,jupiter,jupiter,ocr_receipt
"Yaar, installment ka paisa 16758 kat gaya Fi Money se",16758,emi,upi,fi,fi,hinglish
Zomato Gold subscription 2487.56 dedo using card,2487.56,entertainment,card,,,voice
IndiGo ki booking karne pe 12697.31 lag gaye Fi se,12697.31,travel,upi,fi,fi,hinglish
cash notification: 4485 paid to Airtel recharge from Niyo,4485,utilities,upi,fi,niyo,ocr_upi
"Drove together, Neha ne petrol ka 9367.28 diya",9367.28,friends,unknown,,,hinglish
recurring deposit pe 41196 ka order confirm Fi Money se,41196,investment,upi,fi,fi,hinglish
12606 spent on IRCTC travel with cash,12606,travel,cash,,,ocr_upi
Book purchase for Udemy 1118.33 cash,1118.33,education,cash,,,ocr_receipt
Nykaa order 8672 paid by cash,8672,shopping,cash,,,english
Paid 29194 to Ajio via PayTM,29194,shopping,upi,paytm,,ocr_upi
EMI installment 17334 through slice,17334,emi,upi,slice,slice,ocr_receipt
Paid PharmEasy 17567 in cash.,17567,healthcare,cash,,,english
"20339 ka course liya Allen coaching pe, card se payment hua",20339,education,card,,,hinglish
concert movie 1253 mein book kardi Fi Money account se,1253,entertainment,upi,fi,fi,hinglish
Monthly Groww auto-debit of 6269.93 via BHIM.,6269.93,investment,upi,bhim,,english
SonyLIV membership renewal 1549 via niyo,1549,entertainment,upi,niyo,niyo,english
PPF pe 31155.30 lagaya yaar,31155.30,investment,unknown,,,hinglish
Groww SIP of 5519.13 paid using Fi Money,5519.13,investment,upi,fi,fi,ocr_upi
hospital 15022 paytm,15022,healthcare,upi,paytm,,ocr_receipt
Indian Oil ke liye 9186 ka payment niyo se kiya.,9186,travel,upi,niyo,niyo,english
"Croma pe 13746.01 spend kare, credit card ke saath",13746.01,shopping,upi,cred,,hinglish
woh 4453 jo Karan ne manga tha paid by Fi,4453,friends,upi,fi,fi,voice
school fees coaching class 22462 from ICICI Bank account,22462,education,unknown,,icici,english
aaj FirstCry par kharcha 6828.20 cash,6828.20,shopping,upi,fi,fi,voice
"broadband ka recharge kiya hai 444 ka, cash pe",444,utilities,cash,,,hinglish
hospital ka 15750 ka bill ICICI ke card se pay,15750,healthcare,card,,icici,hinglish
lab test bill of 19415.00 on cash.,19415.00,healthcare,cash,,,english
dentist 12097 rupees paid with Niyo,12097,healthcare,upi,niyo,niyo,ocr_receipt
Fees ka 55702 pay kardiya,55702,education,unknown,,,hinglish
rent for 2087 using credit card from Punjab National Bank,2087,utilities,upi,cred,pnb,english
Mastercard se personal loan EMI ka 10520 bheja,10520,emi,card,,,english
physio ka 23831.35 ka bill Fi ke card se pay,23831.35,healthcare,upi,fi,fi,hinglish
"electronics store se 18053 ka maal aaya, Mastercard se pay kiya",18053,shopping,card,,,hinglish
Paid 1376 for rent through bhim,1376,utilities,upi,bhim,,english
IRCTC ride fare 10570 Niyo,10570,travel,upi,niyo,niyo,ocr_receipt
Apollo Pharmacy pe 20257 ka payment Federal Bank card se,20257,healthcare,card,,federal bank,hinglish
upGrad coaching ka advance 24101 dedo,24101,education,unknown,,,hinglish
Spotify premium 913 auto-debit phonepe,913,entertainment,upi,phonepe,,ocr_receipt
Debited 13672 for installment via Jupiter,13672,emi,upi,jupiter,jupiter,ocr_upi
wifi bill ke paise 2431 kat gaye from Slice,2431,utilities,upi,slice,slice,hinglish
upGrad subscription renew 41121 gpay,41121,education,upi,gpay,,voice
stationery material 29831 through cred,29831,education,upi,cred,,english
"petrol pump flight booking 10898, paid by Jupiter.",10898,travel,upi,jupiter,jupiter,english
BHIM se water bill ka 4254 ka bill pay kiya,4254,utilities,upi,bhim,,ocr_upi
eye clinic ka 12302 ka bill pay kiya cred ke through,12302,healthcare,upi,cred,,voice
44462 transferred for sovereign gold bond via Jupiter.,44462,investment,upi,jupiter,jupiter,english
upGrad course 35925 by cash,35925,education,cash,,,english
"electronics store order paid, 27294 deducted via card",27294,shopping,card,,,hinglish
Invested 43477 in NPS via PayTM,43477,investment,upi,paytm,,ocr_receipt
EMI for bike loan EMI - 3797 using debit card,3797,emi,card,,,english
eye clinic ko 8035 ka installment PhonePe se,8035,healthcare,upi,phonepe,,ocr_upi
"Went to Apple Music, spent 1828.08, paid by CRED",1828.08,entertainment,upi,cred,,english
eye clinic ke liye 20167 spent from HDFC card,20167,healthcare,card,,hdfc,voice
metro booking for 13209.14 using debit card,13209.14,travel,card,,,ocr_upi
"Bhai, wifi bill ka bill clear kar diya 3064 ka, ke card se",3064,utilities,upi,fi,fi,hinglish
"Ugh, gas bill ka bill aagaya tha, 4773.34 de diye GPay pe",4773.34,utilities,upi,gpay,,hinglish
Auto debit for installment of 32201.31 from ICICI,32201.31,emi,card,,icici,english
aaj doctor fees 18882 cash mein de aaya,18882,healthcare,cash,,,voice
Money sent to Arjun for 6692 via Visa.,6692,friends,card,,,ocr_upi
fees 41240.67 school fees ko diya cash,41240.67,education,cash,,,voice
15869 gone for Croma shopping,15869,shopping,unknown,,,english
Tata CLiQ se 28020 ka bill pay kiya cash se,28020,shopping,cash,,,hinglish
Recurring payment to NPS for 27156 via BHIM,27156,investment,upi,gpay,,ocr_upi
"Dinner at BigBasket 780 rupees, card",780,food,card,,,english
Direct cash se restaurant ko 1366.84 transfer kiya khane ka,1366.84,food,cash,,,hinglish
SpiceJet ka bill 1109 cash se,1109,travel,cash,,,ocr_receipt
"5389.86 repaid to Sneha for the book, used slice",5389.86,friends,upi,slice,slice,english
RedBus ke liye 10161 ka payment slice se,10161,travel,upi,slice,slice,ocr_upi
Deducted 29508 for personal loan EMI from Union Bank account,29508,emi,unknown,,union bank,english
Paid 11995 to for credit card EMI by credit card,11995,emi,upi,cred,,ocr_receipt
aaj doctor fees 3932.03 cash mein de aaya,3932.03,healthcare,cash,,,voice
"stationery se material mangaya, 40062 diye credit card se",40062,education,upi,cred,,hinglish
bhai ko school fees ke liye 42965 diya cash se,42965,education,cash,,,voice
12820 sent to fees for coaching using CRED.,12820,education,upi,cred,,ocr_upi
Sent 1992 for electricity bill by jupiter from IDFC,1992,utilities,upi,jupiter,jupiter,english
Spent 8914 on a quick Reliance Digital order with Fi Money,8914,shopping,upi,fi,fi,english
1981 for Steam via Visa from Federal Bank,1981,entertainment,card,,federal bank,english
424 INOX subscription auto-debit ho gaya via Google Pay,424,entertainment,upi,gpay,,hinglish
Paid 13387 to Croma via card,13387,shopping,card,,,ocr_upi
aaj Angel One ka 30466 debit hua bhim se,30466,investment,upi,bhim,,voice
Cleartrip pe 5721 spend kiye using ICICI Bank UPI,5721,travel,unknown,,icici,hinglish
BookMyShow ke live concert ke liye 1892 pay kiye CRED se,1892,entertainment,upi,cred,,hinglish
Booked tickets on PVR for 1937 using cash,1937,entertainment,cash,,,english
765 deducted for PVR subscription,765,entertainment,unknown,,,english
Shopped at electronics store for 24665,24665,shopping,unknown,,,english
recurring deposit investment of 12632 done,12632,investment,unknown,,,ocr_upi
main ne BookMyShow ke liye 1478.98 spend kiye Visa se,1478.98,entertainment,card,,,voice
lab test ka 14961.90 ka bill Slice ke card se pay,14961.90,healthcare,upi,slice,slice,hinglish
Set up 27727 home loan EMI with credit card,27727,emi,upi,cred,,ocr_upi
10646.71 paid for lab tests at MedPlus using slice.,10646.71,healthcare,upi,slice,slice,english
exam fee material 2669 through phonepe,2669,education,upi,phonepe,,english
mutual fund SIP ke liye 35898 invest kiya bhai,35898,investment,unknown,,,hinglish
Travel expense 4418 for HP petrol using bhim.,4418,travel,upi,bhim,,english
10369 NPS mein daale via credit card,10369,investment,upi,cred,,hinglish
