text,amount,category,payment_method,payment_provider,bank_account,text_source
Paid 8128 for online course on tuition via cash.,8128,education,cash,,,ocr_upi
Concert ticket booked 2267 Fi Money IDFC First,2267,entertainment,upi,fi,IDFC,ocr_receipt
  Airtel recharge ka bill 2290.97 phonepe se diya  ,2290.97,utilities,Upi,phonepe,,hinglish
Sent 4094 to roommate with niyo.,4094,peer,upi,niyo,Niyo,ocr_upi
NA,2795,entrtainment,upi,paytm,fi,voice
"Zepto bill paid, 859 via cash",859,,cash,,,ocr_upi
20659 for this month's personal loan EMI from Bandhan,20659,installment,unknown,,bandhan,voice
752 Spotify subscription auto-debit ho gaya via jupiter,752,entertainment,Upi,jupiter,jupiter,hinglish
"Kharcha hua mall pe 9995, cash use kiya",9995,shopping,cash,,,hinglish
mutual fund SIP ke liye 27757 invest kiya bhai,27757,investment,unknown,,,hinglish
"Yaar, Haldirams ka bill 1277 aaya, phonepe se clear kiya",1277,food,upi,phonepe,,hinglish
Direct Mastercard se Dominos ko 1070 transfer kiya khane ka,1070,food,card,,,hinglish
stocks account mein 33191 daale from IndusInd,33191,investment,UNKNOWN,,IndusInd,hinglish
tuition fees 7358.72 diya cash se,7358.72,education,cash,,,voice
  coaching material 4149 through cash  ,null,tution,cash,,,english
bhai movie ticket ke liye 533 credit card se book kiya JioCinema pe,533,entertainment,upi,cred,,hinglish
31872.07 udemy course liya Jupiter se,31872.07,school,upi,jupiter,jupiter,voice
"1379 rupee KFC ke liye nikle, Slice use kiya",1379,None,upi,slice,slice,hinglish
Visa use karke credit card EMI ka 6851.32 dedo,6851.32,loans,upi,cred,,hinglish
13971.62 payment at Netmeds using Visa,13971.62,healthcare,card,,,ocr_upi
lab test checkup fee 5227 SBI,5227,healthcare,unknown,,sbi,ocr_receipt
sister to cash 3699.86 for dinner split,3699.86,Friends,cash,,,voice
Ananya paid back 4758 via niyo,4758,p2p,upi,niyo,Niyo,ocr_receipt
SonyLIV ka monthly charge 1405 dedo YES BANK card se,1405,entertainment,card,,yes bank,hinglish
gas bill recharge of 2797.37 done via Visa,2797.37,utilities,card,,,voice
"Ajio order paid, 26815 deducted via cash",26815,Shopping,cash,,,hinglish
12874.14 deducted for Myntra on gpay,12874.14,shopping,upi,nan,,ocr_upi
Paid 12412.90 to Amazon via Fi,12412.90,shopping,upi,null,Fi,ocr_upi
broadband bill 1163 paid with card,1163,Utilities,CARD,,,ocr_receipt
"Nykaa order paid, 22423 deducted via Mastercard",22423,purchase,card,,,hinglish
Bought stuff from Reliance Digital for 22438 using slice,22438,shopping,upi,slice,Slice,english
upGrad course 31709 by debit card,31709,education,card,,,english
Quick bite mess 339 slice,339,food,upi,NA,Slice,ocr_receipt
39505.19 gone for bike loan EMI,39505.19,utilities,unknown,,,english
20381 for lab/medicine at MedPlus via phonepe,20381,healthcare,upi,phonepe,,ocr_upi
car loan EMI EMI of 18159 done with cred,nan,emi,upi,cred,,ocr_upi
"Udemy se material mangaya, 42737.93 diye credit card se",42737.93,Education,upi,cred,,hinglish
Reliance Digital order for 6401.91 using debit card,6401.91,shopping,card,,,ocr_upi
crypto ke liye 7379.44 ka payment Slice se kiya.,999999.99,investment,upi,NA,slice,english
Spent 5264 on Cleartrip from,5264,travel,UNKNOWN,,,ocr_receipt
  374 SonyLIV ki membership renew kardi BHIM pe se  ,-374,,upi,bhim,,hinglish
  SpiceJet recharge of 3094 using cash.  ,3094,travel,cash,,,english
mutual fund SIP investment of 15679 done via Google Pay,15679,investment,upi,gpay,,voice
Angel One mein 6124 ka order Visa se,6124,mutual fund,card,,,voice
H&M se 29276 ka bill pay kiya debit card se,-29276,shoping,card,,,hinglish
UPI payment to electronics store for 22340.61 from cash,"22,340.61",shopping,cash,,,ocr_receipt
PharmEasy bill of 6438 on slice.,6438,healthcare,upi,slice,slice,english
Recharged lab test app with 20599 via cash.,--,healthcare,cash,,,english
friend ki shaadi ka gift 3313 cred se bheja,3313,transfer,upi,nan,,hinglish
main 57 electricity bill ka bill bhara,57,utilities,unknown,,,voice
water bill 3090 paid through debit card from Axis Bank,3090,utilities,card,,Axis Bank,voice
  aaj food delivery cafe 72.22 cred ke through ,72.22,food,Upi,cred,,voice
cafe pe 1969 ka bill card kiya,1969,food,card,,,hinglish
Transferred 29456 to my sovereign gold bond from Bank of Baroda.,29456,investment,unknown,,Bank of Baroda,english
stationery pe 54180 ka payment Google Pay kiya,54180,education,upi,gpay,,hinglish
fees course ki fees 17210 transfer ki Kotak se,17210,education,unknown,,kotak,hinglish
Bill payment for Jio recharge of 4220.90 via gpay,4220.90,utilities,upi,gpay,,ocr_upi
  Paid 42557 towards crypto with slice   ,42557,investment,upi,slice,Slice,ocr_receipt
  Bewakoof order 11910 paid by Niyo  ,11910,shopping,upi,niyo,Niyo,english
books ke liye 40462.50 cash se,40462.50,eduation,cash,,,english
PPF ko 47959 transfer kiya CRED ke through,47959,healthcare,upi,cred,,hinglish
  16879 gone for Flipkart shopping ,16879,retail,unknown,,,english
Paid 30159 for FD from BOB via Jupiter,30159,investment,upi,jupiter,Jupiter,ocr_receipt
i paid coaching 27818 from RBL Bank using cash,27818,education,cash,,RBL Bank,voice
,7985,cab,cash,,,english
28996 invested in stocks using Fi Money,28996,savings,upi,nan,fi,ocr_receipt
Groww pe 31191.00 ka order confirm Niyo se,31191.00,investment,upi,fi,niyo,hinglish
i paid education loan EMI 6851 with cash from Yes Bank,6851,emi,cash,,YES BANK,voice
9772 spent on petrol pump travel with card,9772,travel,card,,,ocr_upi
eye clinic 22085 phonepe,22085,healthcare,upi,phonepe,,ocr_receipt
Sent 1098 for water bill by PayTM from Canara Bank,1098,utilities,upi,null,canara,english
For checkup at diagnostic center 6504 rupees gpay se.,6504,healthcare,upi,gpay,,english
20575.61 for medicines at diagnostic center cash payment.,20575.61,healthcare,cash,,,english
lab test ke 3161 paytm kar diye,3161,healthcare,upi,paytm,,voice
9982 paid to flatmate on BHIM.,9982,friends,upi,bhim,,ocr_upi
Monthly EMI payment of 25946.34 through debit card,25946.34,emi,card,,,ocr_upi
None,3493.23,travel,upi,gpay,,english
Payment of 5657 for Neha from Bank of Baroda account via bhim.,5657,friends,upi,None,bob,ocr_upi
PVR mein 1155 ka payment Fi se,1155,entertainment,upi,nan,fi,ocr_receipt
Education fee 50238.38 paid to fees using slice from .,50238.38,education,upi,slice,slice,ocr_upi
gold pe 18021.96 ka order confirm cash se,-18021.96,investment,upi,nan,Fi,hinglish
"Drove together, flatmate ne petrol ka 9306 diya",9306,friends,unknown,,,hinglish
23021.61 mutual fund SIP mein daale via cash,23021.61,investment,cash,,,hinglish
  Paid 9316.40 to Karan from Canara.   ,9316.40,friends,unknown,,canara,ocr_upi
"upGrad ko 49930.29 bheje, cash diya",49930.29,education,cash,,,hinglish
credit card EMI ka bill 30714 clear kiya Visa ke through,30714,emi,upi,cred,,voice
personal loan EMI ka EMI 4658 auto debit hogaya,4658,emi,card,,,hinglish
"  FirstCry pe 12880 spend kare, Paytm ke saath   ",12880,shopping,upi,paytm,fi,hinglish
nan,4277,Utilities,upi,cred,,ocr_upi
Sent 4943.75 for car loan EMI to IDFC First via Visa,4943.75,emi,upi,fi,idfc,english
"Lunch at BigBasket for 670, paid by cash",670,food,cash,,,hinglish
recurring deposit pe 18055 ka order confirm cash se,None,investment,upi,fi,Fi,hinglish
Coursera subscription renew kiya 47537 ka,47537,tution,unknown,,,hinglish
mera EMI ka payment 11876.14 ho gaya cred pe,11876.14,emi,upi,cred,,voice
27789 for education loan EMI through niyo,27789,emi,upi,null,niyo,english
Netflix subscription 1456 paid with CRED,1456,entertainment,upi,cred,,ocr_receipt
  Debited 30291.99 for home loan EMI via debit card   ,30291.99,emi,card,,,ocr_upi
"diagnostic center mein 22598.06 ka kharcha, Fi Money",22598.06,pharmacy,upi,fi,fi,ocr_receipt
maintenance recharge of 3430 done via Mastercard,3430,utilities,card,,,voice
main Jio recharge ka 3853 bheja jupiter se,3853,utilities,upi,,Jupiter,voice
phonepe se Biryani Blues ko 1278 transfer kiya lunch ke liye,1278,food,upi,phonepe,,voice
   eye clinic bill settle 18618 by card  ,18618,healthcare,card,,,ocr_upi
Paid 245 for gas bill via bhim,245,bills,upi,bhim,,ocr_receipt
   Box8 UPI payment 1437.74 from   ,None,restuarant,unknown,,,ocr_upi
"Pizza Hut pe food delivery, 2402 ka payment done via cash","2,402.00",food,cash,,,hinglish
"2447 ka course liya upGrad pe, card se payment hua",2447,education,CARD,,,hinglish
flatmate ko 4163 bheje Slice ke through,4163,friends,upi,null,Slice,hinglish
Netflix for 336 using cash,336,OTT,cash,,,ocr_upi
   brother ke saath dinner ka hissa 9386.12 niyo kiya   ,9386.12,friends,upi,niyo,niyo,hinglish
auto ki cab ke 12240 bhim se transfer kar diye,12240,travel,upi,bhim,,hinglish
IndiGo recharge 10038.20 through debit card,10038.20,travel,card,,,ocr_receipt
wifi bill ka bill pay kiya 3761 PhonePe se,3761,utilities,upi,nan,fi,hinglish
Lenskart ka payment 24642 Phone Pe wallet se,24642,shopping,upi,phonepe,,voice
  recurring deposit ke liye 20846 ka kharcha CRED se kiya   ,20846,savings,upi,cred,,hinglish
Phone Pe se Zomato Gold ko 1150 ka payment,1150,entertainment,upi,phonepe,,ocr_upi
Arjun ko 4918 bheje cash se.,4918,friends,cash,,,ocr_upi
Behrouz order for 1703 using cash,1703,food,cash,,,english
Zepto mein cash diya 885 chai ke liye,885,food,cash,,,voice
Indian Oil se 12646 ka recharge Canara Bank card se kiya,12646,travell,card,,canara,hinglish
UPI payment to Neha for 7534 using GPay.,7534,friends,upi,gpay,,ocr_upi
Tata CLiQ pe shopping kiye 23143 niyo se,23143,shopping,upi,niyo,niyo,hinglish
"1591.00 to lab test for medicine, paid with cash.",1591.00,pharmacy,cash,,,english
petrol pump recharge of 12308 using Phone Pe.,12308,Transport,upi,phonepe,,english
332.81 spent on Rapido through HDFC Bank card.,332.81,travel,card,,hdfc,english
Paid 13538 for electronics store shopping with ICICI card,13538,healthcare,card,,ICICI Bank,ocr_receipt
"17204 udhar diya exam fee ke liye, baad me le lena",17204,education,unknown,,,hinglish
"Coffee on me, Karan ko 2623 pay kiya",2623,None,unknown,,,hinglish
"Books ke liye 18208 ka kharcha, debit card se",18208,tution,card,,,hinglish
Paid 14834.47 for Indian Oil ride with phonepe.,14834.47,travel,upi,phonepe,,english
Bus ticket on SpiceJet for 9630.,9630,travel,unknown,,,english
Quick bite Burger King 886 Visa,886,food,card,,,ocr_receipt
  brother ko 9408.85 bheja card se  ,9408.85,friends,card,,,ocr_receipt
aaj car loan EMI ka 32235 bheja Visa kar ke,32235,emi,CARD,,,voice
Sneha recharge of 1731 via Paytm.,1731,education,upi,paytm,,ocr_upi
"Quick bite from Starbucks, cost 1400.06, used Mastercard",1400.06,food,card,,,hinglish
Ajio pe shopping kiye 22175.74 BHIM se,22175.74,Shopping,upi,bhim,,hinglish
Air India se 6200.59 ka recharge RBL Bank card se kiya,6200.59,travell,card,,rbl,hinglish
Paid 2098 to Pizza Hut via BHIM from SBI,2098,None,upi,bhim,State Bank,english
SonyLIV 103 wala plan le liya niyo through Jupiter,103,movies,upi,jupiter,jupiter,voice
Quick Nykaa purchase for 28821.45,28821.45,shopping,unknown,,,english
"Allen coaching se material mangaya, 23990 diye PayTM se",23990,tution,upi,paytm,,hinglish
Netflix membership renewal 1102 via GPay,1102,entertainment,upi,gpay,,english
IRCTC ka bill 6310 Niyo se,6310,travell,upi,niyo,niyo,ocr_receipt
Payment to Zara for 16351 via GPay from Fi,16351,shopping,upi,None,fi,english
Udemy course 34588 cash,34588,Education,cash,,,ocr_receipt
Cleared credit card EMI for 5688,5688,installment,upi,cred,,english
Monthly bike loan EMI 7944.42 paid by Mastercard,7944.42,loan,card,,,english
Paid 400 for broadband via Google Pay,400,utilities,upi,gpay,,ocr_receipt
cash ke through Bewakoof ko 8235 diya,8235,shopping,cash,,,hinglish
Order from Box8 of 219.03 using cash,219.03,food,cash,,,ocr_upi
  index fund ke liye 4317 invest kiya bhai ,4317,investment,unknown,,,hinglish
  Fees 30178 to coaching by card   ,30178,Education,card,,,ocr_receipt
Myntra order 1898 paid by cash,1898,shopping,cash,,,english
rent 1043 payment successful on cash,1043,utilities,Cash,,,ocr_receipt
Auto-debit for stocks 7575 from HDFC,7575,Investment,card,,HDFC,ocr_upi
"9314 repaid to friend for the book, used BHIM",9314,Friends,upi,bhim,,english
electricity bill ( 803.59 ) paid through debit card,803.59,Utilities,card,,,ocr_upi
Box8 ko 2050 diya Paytm se,2050,food,upi,paytm,,hinglish
  Lenskart shopping ke liye 2172 ka payment debit card se  ,2172,shopping,card,,,hinglish
"cafe se biryani mangwai, 1509 pay kiya ICICI Bank card se",1509,food,card,,icici,hinglish
IndiGo ki booking karne pe 11115.19 lag gaye BHIM se,11115.19,travell,upi,bhim,,hinglish
NPS mein 46067 add kiya slice se,46067,Investment,upi,slice,Slice,hinglish
Myntra order 20960.81 paid by cash,20960.81,shopping,cash,,,ocr_receipt
maintenance bill 2100 done via BHIM,2100,utilities,upi,null,,english
i paid 16472 to Apollo Pharmacy using Mastercard,16472,null,card,,,voice
physio checkup fee 17655,17655,Health,unknown,,,ocr_receipt
  Paytm use karke personal loan EMI ka 30991 dedo   ,30991,emi,upi,--,,hinglish
school fees ki book 16584 ki li cred se,16584,study,upi,nan,,voice
Booked tickets on INOX for 709 using Phone Pe,709,Entertainment,upi,phonepe,,english
"13998.97 Air India ko diya for booking, paid via Fi",13998.97,travel,upi,fi,fi,hinglish
"1881 udd gaya cafe pe khane mein, cash diya",1881,Food,cash,,,hinglish
MakeMyTrip se 2313 ka recharge slice kiya,2313,fuel,upi,None,Slice,ocr_receipt
Food expense at Biryani Blues 576 by cash,576,grocery,cash,,,english
i bought from Ajio for 25579.22 with debit card,25579.22,shopping,card,,,voice
renewed Steam for 1665 rupees used Google Pay,1665,OTT,upi,gpay,,voice
28020 ka car loan EMI bhej diya Visa se,28020,emi,card,,,hinglish
Ananya ke birthday gift mein chip in 1870 via phonepe,1870,freind,upi,null,,voice
recurring deposit ka payment 49075 de diya cash se,49075,investment,cash,,,hinglish
For checkup at checkup 22902 rupees bhim se.,22902,healthcare,upi,bhim,,english
"Yaar, Box8 ka bill 310 aaya, GPay se clear kiya",310,food,upi,gpay,,hinglish
   Auto-pay for index fund 36742 via niyo  ,36742,invest,upi,niyo,Niyo,ocr_receipt
"14170 udhar diya coaching ke liye, baad me le lena",14170,education,UNKNOWN,,,hinglish
i bought recurring deposit worth 19413.66 using cash,19413.66,investment,cash,,,voice
  37656 transferred for installment using Mastercard  ,37656,emi,Card,,,ocr_upi
diagnostic center ka payment 15226 cash se diya,15226,medical,cash,,,hinglish
index fund ke liye 23855.34 ka SIP jupiter se diya,23855.34,invest,upi,--,jupiter,hinglish
RedBus se 14388 ka recharge SBI card se kiya,14388,travel,card,,sbi,hinglish
  Transferred 5256.31 to my crypto from .   ,5256.31,invest,unknown,,,english
Indian Oil 13533 cash payment,13533,cab,cash,,,ocr_receipt
Visa used for stationery 36058,36058,education,card,,,english
DTH recharge bill paid 4741 using Yes Bank card,4741,utilities,card,,yes bank,voice
Spent 49396 on Allen coaching course materials,49396,eduation,unknown,,,ocr_receipt
mobile recharge ke liye 3355 ka payment kiya niyo se,3355,utilites,upi,null,niyo,hinglish
15856 bike loan EMI ke liye RBL Bank se pay kiya,15856,emi,unknown,,rbl,hinglish
12431 spent on fees using Fi Money,12431,travel,upi,fi,Fi,english
Investment in NPS for 22833 from Union Bank,22833,investment,unknown,,union bank,ocr_upi
diagnostic center pe 22875.43 ka payment Fi card se,22875.43,healthcare,upi,fi,fi,hinglish
cash se Subway ko 230.17 ka bill,230.17,food,CASH,,,ocr_upi
gold mein 44253 add kiya slice se,44253,investment,upi,slice,slice,hinglish
Set up personal loan EMI auto-debit for 30819 from,30819,emi,card,,,ocr_receipt
"MedPlus mein 18636 ka kharcha, niyo",18636,healthcare,upi,niyo,niyo,ocr_receipt
"Books ke liye 50834 ka kharcha, jupiter se",50834,study,upi,jupiter,jupiter,hinglish
Burger King ka bill 1213 paytm se clear kiya,1213,healthcare,upi,paytm,,voice
Sent 29434.10 for home loan EMI to Canara Bank via cash,29434.10,emi,cash,,Canara,english
Paid back 4751.68 to roommate for the movie tickets using phonepe,4751.68,p2p,upi,phonepe,,english
--,1764,leisure,Card,,,hinglish
Nykaa shopping 12541 upi GPay,12541,Shopping,upi,gpay,,voice
SonyLIV recharge 251 using cash,251,leisure,cash,,,ocr_receipt
Zara order for 16677 using paytm,16677,retail,upi,gpay,,ocr_upi
"McDonald's ka online order, 1771 debit hua slice se",1771,food,upi,slice,Slice,hinglish
  52075 for Udemy books on Visa   ,52075,education,card,,,english
12025 for medicines at MedPlus cash payment.,null,healthcare,cash,,,english
Paid 1523 at Steam with Jupiter,1523,Entertainment,upi,jupiter,Jupiter,english
Paid 13204 for this month's EMI via card,13204,loans,card,,,english
stocks ke liye 24253 ka SIP Fi Money se diya,24253,investment,upi,fi,fi,hinglish
PVR ke liye 285.91 ka payment GPay se kiya,-285.91,entertainment,upi,gpay,,hinglish
