text,amount,category,payment_method,location,notes
22328 rupaiye ka personal loan installment installment upi se diye,22328,emi,upi,,
Pizza delivery INR 35963,35963,food,upi,,
Online course subscription INR 39601,39601,education,card,,
fixed deposit investment ka SIP 43713 rs. upi se bharaa,43713,investment,upi,,
College fees payment INR 21209,21209,education,card,,
flight ticket booking ki ticket 11610 rupaiye me book kya cash se,11610,travel,cash,,
Doctor consultation INR 17962,17962,healthcare,cash,,
uber ride ka kiraya 2094 rupay diy upi se,2094,travel,upi,,
33976 rupaiye fixed deposit investment me daale cash se,33976,investment,cash,,
Uber ride INR 49540,49540,travel,card,,
internet recharge recharge kiya 1395 rs upi se,1395,utilities,upi,,
aaj ppf contribution me 39729 rupay lagaye cash se,39729,investment,cash,,
padhai ke liye online course subscription pe 44130 rupye karcha kiyaa cash se,44130,education,cash,,
flight ticket booking ki ticket 49865 rs me book kya upi se,49865,travel,upi,,
Personal loan installment INR 40228,40228,emi,upi,,
Online course subscription INR 8719,8719,education,card,,
hotel booking ka kiraya 32224 rs. diye upi se,32224,travel,upi,,
null,-5000,blabla,123,Mumbai,
loan ka bike loan emi 5913 rupaiye card se pay kiya,5913,emi,card,,
Exam fee INR 7111,7111,education,card,,
Ola cab INR 16749,16749,travel,cash,,
padhai ke liye online course subscription pe 19262 rupay kharch kia card se,19262,education,card,,
aaj ola cab lia 16749 rs. cash se pay kia,16749,travel,cash,,
College fees payment INR 21924,21924,education,cash,,
!@#$%^&*(),NaN,blabla,ccard,,
Hotel booking INR 45855,45855,travel,cash,,
ppf contribution me 18507 rupaiye invest kia upi se,18507,investment,upi,,
41777 rs mutual fund sip me daale upi se,41777,investment,upi,,
"zomato dinner pe 28593 ka bill tha, card se pay kiya",28593,food,card,,
654 rupaiye kharch kiyaa lunch at hotel pe card se,654,food,card,,
Stock purchase INR 21427,21427,investment,card,,
Internet recharge INR 25658,25658,utilities,card,,
credit card emi ki EMI 32447 rupaye card se bhara,32447,emi,card,,
mutual fund sip ka SIP 33113 rupaiye card se bhara,33113,investment,card,,
Water bill INR 10058,10058,utilities,card,,
bike loan emi EMI 21129 rs kat gaye card se,21129,emi,card,,
online course subscription ka course 45528 rupaye me liyaa cash se pay kia,45528,education,cash,,
Hospital bill INR 45616,45616,healthcare,card,,
48731 rupay ka hospital bill bill aaya upi se pay kia,48731,healthcare,upi,,
aaj crypto investment me 41878 rupye lagaye upi se,41878,investment,upi,,
test transaction do not process,-5000,error,bitcoin,Delhi,EDA test row
3411 rupaye die library fee ke liye cash se,3411,education,cash,,
crypto investment me 1610 rupye invest kiya upi se,1610,investment,upi,,
online shopping payment se 45940 rs ka shopping kiya upi se,45940,shopping,upi,,
drop table users;,NaN,misc,csh,,
mutual fund sip ka SIP 49755 rupaye upi se bharaa,49755,investment,upi,,
aaj ola cab lya 18152 rs card se pay kiyaa,18152,travel,card,,
5669 rs. lagaa uber ride me card se die,5669,travel,card,,
pizza delivery ka khana 24464 rs. me aaya upi se diy,24464,food,upi,,
pharmacy medicine purchase pe 29515 rupye khrcha hui davai pe upi se,29515,healthcare,upi,,
Stock purchase INR 1554,1554,investment,card,,
6159 rs. ka order diyee electronics shopping pe cash se,6159,shopping,cash,,
8762 rs. ka order diy amazon purchase pe cash se,8762,shopping,cash,,
PPF contribution INR 43294,43294,investment,upi,,
Car loan EMI INR 6157,6157,emi,card,,
Restaurant bill INR 11308,11308,food,cash,,
46218 rupay karcha kia netflix subscription pe card se,46218,entertainment,card,,
concert ticket dekha 48592 rs lga upi se diyee,48592,entertainment,upi,,
aaj hotel booking lya 8043 rs card se pay kia,8043,travel,card,,
pizza delivery me 12825 rupaiye ka khana khaaya upi se,12825,food,upi,,
41776 rs. ka order diyee clothing store bill pe card se,41776,shopping,card,,
Bus ticket INR 39238,39238,travel,card,,
Exam fee INR 34963,34963,education,upi,,
doctor ke yahan 724 rupaye laga upi se diye,724,healthcare,upi,,
car loan emi ki EMI 35906 rs card se bhara,35906,emi,card,,
Zomato dinner INR 49760,49760,food,card,,
,five hundred,,123,,
Internet recharge INR 16152,16152,utilities,upi,,
game purchase ka subscription 10121 rs upi se renew kia,10121,entertainment,upi,,
Library fee INR 35740,35740,education,cash,,
Bike loan EMI INR 28134,28134,emi,cash,,
aaj mobile recharge ka 24747 rupay ka bill card se bhra,24747,utilities,card,,
mobile recharge recharge kiya 21746 rupaiye card se,21746,utilities,card,,
pharmacy medicine purchase pe 11325 rupaiye kharch hui davai pe card se,11325,healthcare,card,,
stock purchase ka SIP 37299 rupay cash se bhra,37299,investment,cash,,
personal loan installment ki EMI 33184 rupye cash se bhra,33184,emi,cash,,
amazon purchase se 40704 rs. ka shopping kya upi se,40704,shopping,upi,,
mutual fund sip ka SIP 25033 rupay card se bhara,25033,investment,card,,
train ticket irctc ki ticket 49758 rs. me book kia cash se,49758,travel,cash,,
Personal loan installment INR 22156,22156,emi,upi,,
Bike loan EMI INR 9805,9805,emi,cash,,
37279 rs. ka order diy amazon purchase pe cash se,37279,shopping,cash,,
personal loan installment ki EMI 24322 rupaye upi se bharaa,24322,emi,upi,,
personal loan installment EMI 12499 rupaye kat gaye upi se,12499,emi,upi,,
mobile recharge ka bill 27870 rs card se bharaa,27870,utilities,card,,
14382 rupaiye kharchaa kiya food court payment pe upi se,14382,food,upi,,
doctor ke yahan 23103 rupaiye lga cash se diy,23103,healthcare,cash,,
29440 rs karcha kya food court payment pe cash se,29440,food,cash,,
electronics shopping pe shopping kia 13334 rupye karcha upi se,13334,shopping,upi,,
personal loan installment EMI 41367 rupaiye kat gaye upi se,41367,emi,upi,,
library fee ka course 33733 rupay me liya upi se pay kya,33733,education,upi,,
34623 rs ka order diyee amazon purchase pe cash se,34623,shopping,cash,,
aaj cafe coffee se khana order kya 44981 rupaye upi se diy,44981,food,upi,,
aaj pizza delivery se khana order kiya 32250 rupay cash se diy,32250,food,cash,,
flipkart order pe shopping kiyaa 34162 rs. kharch card se,34162,shopping,card,,
cafe coffee me 28393 rupye ka khana khaya upi se,28393,food,upi,,
online flipkart order se 23890 ka saman lya card se pay kiya,23890,shopping,card,,
aaj mobile recharge ka 17970 rupaiye ka bill cash se bharaa,17970,utilities,cash,,
loan ka credit card emi 6411 rs card se pay kia,6411,emi,card,,
library fee ka course 11520 rupaiye me liyaa upi se pay kia,11520,education,upi,,
College fees payment INR 16165,16165,education,card,,
Exam fee INR 8008,8008,education,upi,,
Flipkart order INR 15439,15439,shopping,upi,,
concert ticket ka subscription 36577 rs card se renew kiya,36577,entertainment,card,,
aaj gas bill payment ka 40346 rs. ka bill card se bharra,40346,utilities,card,,
Exam fee INR 8970,8970,education,card,,
movie ticket booking ka ticket 6585 rs. me liya cash se,6585,entertainment,cash,,
Car loan EMI INR 21202,21202,emi,card,,
Online shopping payment INR 1407,1407,shopping,upi,,
credit card emi ki EMI 33964 rs. upi se bhra,33964,emi,upi,,
36387 rs. lagaa bus ticket me cash se diyee,36387,travel,cash,,
Library fee INR 25353,25353,education,cash,,
Fixed deposit investment INR 41591,41591,investment,upi,,
loan ka bike loan emi 38119 rupye cash se pay kya,38119,emi,cash,,
Library fee INR 43194,43194,education,upi,,
Personal loan installment INR 43212,43212,emi,upi,,
Personal loan installment INR 24086,24086,emi,cash,,
train ticket irctc ka kiraya 22609 rupaye diyee upi se,22609,travel,upi,,
Electronics shopping INR 45288,45288,shopping,card,,
Uber ride INR 10465,10465,travel,card,,
internet recharge recharge kiyaa 38381 rupay upi se,38381,utilities,upi,,
Water bill INR 31532,31532,utilities,cash,,
45055 rs lagaa bus ticket me card se diye,45055,travel,card,,
Messy outlier tx unknown,-5000,unknown,ccard,NaN,
pizza delivery ka khana 49494 rs. me aaya cash se diye,49494,food,cash,,
mobile recharge recharge kya 7893 rupye upi se,7893,utilities,upi,,
40005 rupaiye ka bike loan emi installment cash se diy,40005,emi,cash,,
aaj gas bill payment ka 229 rupaiye ka bill card se bharaa,229,utilities,card,,
"food court payment pe 29176 ka bill tha, card se pay kiya",29176,food,card,,
ppf contribution ka SIP 42510 rupaye card se bharra,42510,investment,card,,
Medical test charges INR 14034,14034,healthcare,cash,,
43497 rupaiye diye online course subscription ke liye cash se,43497,education,cash,,
game purchase ka subscription 24221 rs. upi se renew kiyaa,24221,entertainment,upi,,
PPF contribution INR 9988,9988,investment,upi,,
Stock purchase INR 31465,31465,investment,upi,,
13852 rupaye ka pharmacy medicine purchase bill aaya upi se pay kiyaa,13852,healthcare,upi,,
internet recharge ka bill 16963 rupaiye cash se bhra,16963,utilities,cash,,
padhai ke liye library fee pe 35740 rupye khrcha kiyaa cash se,35740,education,cash,,
Mutual fund SIP INR 12211,12211,investment,upi,,
Uber ride INR 2106,2106,travel,cash,,
Exam fee INR 45737,45737,education,cash,,
Exam fee INR 6918,6918,education,cash,,
14784 rupay lga flight ticket booking me cash se diye,14784,travel,cash,,
Lunch at hotel INR 784,784,food,cash,,
2828 rupaye ppf contribution me daale cash se,2828,investment,cash,,
stock purchase ka SIP 30481 rs card se bharra,30481,investment,card,,
Library fee INR 46201,46201,education,card,,
Movie ticket booking INR 26079,26079,entertainment,cash,,
Electricity bill payment INR 19204,19204,utilities,card,,
Stock purchase INR 20642,20642,investment,upi,,
Train ticket IRCTC INR 13296,13296,travel,upi,,
24687 rupaye ka medical test charges bill aaya upi se pay kiya,24687,healthcare,upi,,
Concert ticket INR 11018,11018,entertainment,cash,,
21209 rs. diye college fees payment ke liye card se,21209,education,card,,
Messy outlier tx UPIID123,99999999,error,paypal,,
doctor consultation pe 18823 rupay khrcha hui davai pe cash se,18823,healthcare,cash,,
loan ka credit card emi 37737 rs. cash se pay kya,37737,emi,cash,,
"pizza delivery pe 931 ka bill tha, card se pay kia",931,food,card,,
Car loan EMI INR 47417,47417,emi,cash,,
Mutual fund SIP INR 2934,2934,investment,card,,
concert ticket dekha 49645 rupye lgaa card se diyee,49645,entertainment,card,,
"zomato dinner pe 43277 ka bill tha, cash se pay kiyaa",43277,food,cash,,
Pizza delivery INR 36961,36961,food,card,,
Amazon purchase INR 24728,24728,shopping,upi,,
Fixed deposit investment INR 36205,36205,investment,card,,
online amazon purchase se 32457 ka saman lia upi se pay kiya,32457,shopping,upi,,
Messy outlier tx paypal,0,,UPIID123,,
49163 rs lagaa ola cab me upi se diy,49163,travel,upi,,
netflix subscription ka ticket 46218 rupay me lya card se,46218,entertainment,card,,
Credit card EMI INR 49756,49756,emi,card,,
Restaurant bill INR 42457,42457,food,cash,,
game purchase ka subscription 42388 rs card se renew kiyaa,42388,entertainment,card,,
aaj bus ticket liyaa 5976 rs card se pay kia,5976,travel,card,,
home loan emi ki EMI 30192 rupye card se bharra,30192,emi,card,,
Ola cab INR 49163,49163,travel,upi,,
hospital bill pe 39512 rupaiye karcha hui davai pe upi se,39512,healthcare,upi,,
aaj cafe coffee se khana order kiya 48843 rs card se diye,48843,food,card,,
PPF contribution INR 10474,10474,investment,upi,,
18708 rs kharcha kya concert ticket pe card se,18708,entertainment,card,,
Home loan EMI INR 45753,45753,emi,cash,,
Flipkart order INR 34162,34162,shopping,card,,
Fixed deposit investment INR 15181,15181,investment,cash,,
online online shopping payment se 21769 ka saman liya upi se pay kiya,21769,shopping,upi,,
ppf contribution ka SIP 36799 rupaye card se bhra,36799,investment,card,,
Internet recharge INR 49184,49184,utilities,upi,,
Pharmacy medicine purchase INR 32797,32797,healthcare,cash,,
Library fee INR 49393,49393,education,card,,
college fees payment ki fees 5290 rupye card se bharaa,5290,education,card,,
electricity bill payment ka bill 26745 rs. upi se bharra,26745,utilities,upi,,
online amazon purchase se 24728 ka saman liya upi se pay kya,24728,shopping,upi,,
concert ticket ka ticket 16317 rs me lia card se,16317,entertainment,card,,
6997 rs. karcha kya restaurant bill pe card se,6997,food,card,,
Netflix subscription INR 1557,1557,entertainment,card,,
aaj stock purchase me 21141 rupay lagaye cash se,21141,investment,cash,,
Messy outlier tx UPIID123,-100,unknown,paypal,NY,EDA test row
34701 rs kharch kia game purchase pe card se,34701,entertainment,card,,
Exam fee INR 9321,9321,education,upi,,
concert ticket dekha 27093 rupaiye lagaa cash se diy,27093,entertainment,cash,,
Gas bill payment INR 25017,25017,utilities,cash,,
Electronics shopping INR 43265,43265,shopping,upi,,
car loan emi ki EMI 3218 rupaye card se bhara,3218,emi,card,,
stock purchase ka SIP 9709 rupye cash se bharra,9709,investment,cash,,
online flipkart order se 38929 ka saman liyaa card se pay kiya,38929,shopping,card,,
Swiggy order INR 18737,18737,food,cash,,
Concert ticket INR 7643,7643,entertainment,upi,,
Electricity bill payment INR 47161,47161,utilities,cash,,
Restaurant bill INR 23907,23907,food,cash,,
ppf contribution ka SIP 32284 rupye upi se bhra,32284,investment,upi,,
!@#$%^&*(),"1,000",error,paypal,,EDA test row
pharmacy medicine purchase pe 43632 rupay kharchaa hui davai pe card se,43632,healthcare,card,,
electricity bill payment recharge kiya 11093 rupaye upi se,11093,utilities,upi,,
Bike loan EMI INR 9579,9579,emi,card,,
19845 rupaiye kharcha kya swiggy order pe upi se,19845,food,upi,,
Credit card EMI INR 1351,1351,emi,card,,
23984 rupay ka doctor consultation bill aaya cash se pay kiya,23984,healthcare,cash,,
Credit card EMI INR 8141,8141,emi,cash,,
electronics shopping pe shopping kiyaa 20593 rs kharch upi se,20593,shopping,upi,,
10856 rupay crypto investment me daale card se,10856,investment,card,,
online amazon purchase se 35995 ka saman liyaa card se pay kia,35995,shopping,card,,
aaj internet recharge ka 11450 rs. ka bill cash se bharra,11450,utilities,cash,,
"swiggy order pe 18737 ka bill tha, cash se pay kya",18737,food,cash,,
electronics shopping se 13334 rs. ka shopping kiyaa upi se,13334,shopping,upi,,
Messy outlier tx paypal,99999999,error,ccard,,
43627 rs. die exam fee ke liye card se,43627,education,card,,
41867 rupay khrcha kiyaa lunch at hotel pe card se,41867,food,card,,
Uber ride INR 17271,17271,travel,upi,,
hotel booking ki ticket 35701 rupay me book kia upi se,35701,travel,upi,,
Crypto investment INR 16586,16586,investment,upi,,
Cafe coffee INR 41213,41213,food,cash,,
Messy outlier tx UPIID123,"1,000",blabla,unknown,,
Ola cab INR 37530,37530,travel,card,,
Movie ticket booking INR 42054,42054,entertainment,cash,,
Amazon purchase INR 49922,49922,shopping,card,,
clothing store bill se 15291 rs. ka shopping kiya upi se,15291,shopping,upi,,
aaj mutual fund sip me 25033 rupay lagaye card se,25033,investment,card,,
Food court payment INR 3926,3926,food,cash,,
Hotel booking INR 24121,24121,travel,cash,,
16659 rupaye laga uber ride me card se diy,16659,travel,card,,
aaj bus ticket liya 39238 rupaye card se pay kiyaa,39238,travel,card,,
23688 rupay laga ola cab me cash se die,23688,travel,cash,,
20206 rupaiye ka car loan emi installment cash se die,20206,emi,cash,,
aaj mutual fund sip me 21494 rs. lagaye cash se,21494,investment,cash,,
9579 rupye ka bike loan emi installment card se diy,9579,emi,card,,
college fees payment ka course 21923 rs. me lya card se pay kiya,21923,education,card,,
medical test charges me 49075 rs. kharch hua cash se die,49075,healthcare,cash,,
online amazon purchase se 25052 ka saman liyaa upi se pay kiya,25052,shopping,upi,,
Pharmacy medicine purchase INR 29515,29515,healthcare,upi,,
Crypto investment INR 39986,39986,investment,upi,,
!@#$%^&*(),five hundred,unknown,ccard,NaN,EDA test row
NaN,99999999,blabla,csh,,EDA test row
Mutual fund SIP INR 39358,39358,investment,card,,
electricity bill payment ka bill 22344 rupaye cash se bhra,22344,utilities,cash,,
aaj uber ride liya 21449 rs. upi se pay kia,21449,travel,upi,,
Lunch at hotel INR 7034,7034,food,upi,,
hospital bill me 34847 rupye kharchaa hua cash se diyee,34847,healthcare,cash,,
Electronics shopping INR 27442,27442,shopping,upi,,
Flight ticket booking INR 24562,24562,travel,card,,
23014 rupaiye stock purchase me daale upi se,23014,investment,upi,,
swiggy order ka khana 18737 rs me aaya cash se diy,18737,food,cash,,
Netflix subscription INR 41242,41242,entertainment,cash,,
Car loan EMI INR 48569,48569,emi,upi,,
aaj restaurant bill se khana order kiya 30530 rupaiye upi se diye,30530,food,upi,,
internet recharge ka bill 20639 rs upi se bhara,20639,utilities,upi,,
doctor ke yahan 45663 rupaye lagaa card se die,45663,healthcare,card,,
Car loan EMI INR 48406,48406,emi,cash,,
Stock purchase INR 863,863,investment,upi,,
cafe coffee ka khana 12376 rupaye me aaya card se diye,12376,food,card,,
Electronics shopping INR 4429,4429,shopping,card,,
aaj ppf contribution me 38046 rupay lagaye upi se,38046,investment,upi,,
Restaurant bill INR 30530,30530,food,upi,,
Clothing store bill INR 35591,35591,shopping,cash,,
doctor ke yahan 45967 rs. lga upi se die,45967,healthcare,upi,,
credit card emi ki EMI 7170 rupaye card se bhara,7170,emi,card,,
35771 rs ka water bill bill pay kiyaa upi se,35771,utilities,upi,,
Crypto investment INR 29759,29759,investment,cash,,
Cafe coffee INR 43419,43419,food,upi,,
Food court payment INR 42951,42951,food,upi,,
7621 rupaiye ka gas bill payment bill pay kiyaa card se,7621,utilities,card,,
online course subscription ka course 42264 rs me lia cash se pay kiyaa,42264,education,cash,,
netflix subscription ka ticket 34435 rupaiye me lya upi se,34435,entertainment,upi,,
credit card emi ki EMI 2925 rs. cash se bhara,2925,emi,cash,,
doctor ke yahan 47123 rupay lagaa card se diyee,47123,healthcare,card,,
aaj pizza delivery se khana order kia 36961 rs. card se diyee,36961,food,card,,
Swiggy order INR 7352,7352,food,card,,
Pharmacy medicine purchase INR 11325,11325,healthcare,card,,
loan ka personal loan installment 46084 rupay upi se pay kiya,46084,emi,upi,,
ppf contribution me 197 rs invest kia card se,197,investment,card,,
"cafe coffee pe 31429 ka bill tha, cash se pay kya",31429,food,cash,,
aaj ppf contribution me 17397 rs lagaye card se,17397,investment,card,,
padhai ke liye library fee pe 23664 rupaiye karcha kya upi se,23664,education,upi,,
Personal loan installment INR 46084,46084,emi,upi,,
aaj uber ride liya 10826 rupaye upi se pay kia,10826,travel,upi,,
mobile recharge ka bill 47207 rupye card se bhra,47207,utilities,card,,
5487 rupay khrcha kia netflix subscription pe cash se,5487,entertainment,cash,,
25265 rs. karcha kia restaurant bill pe upi se,25265,food,upi,,
Clothing store bill INR 16543,16543,shopping,upi,,
Cafe coffee INR 11491,11491,food,upi,,
Bus ticket INR 43845,43845,travel,cash,,
aaj mutual fund sip me 12854 rs lagaye cash se,12854,investment,cash,,
concert ticket ka subscription 21214 rupye upi se renew kia,21214,entertainment,upi,,
clothing store bill pe shopping kiyaa 16543 rupye kharcha upi se,16543,shopping,upi,,
14692 rupaiye ka order diyee flipkart order pe cash se,14692,shopping,cash,,
30136 rupaiye ka order diyee online shopping payment pe upi se,30136,shopping,upi,,
Amazon purchase INR 29532,29532,shopping,card,,
42867 rupaye ka order die flipkart order pe cash se,42867,shopping,cash,,
online amazon purchase se 4956 ka saman liyaa card se pay kiyaa,4956,shopping,card,,
Mutual fund SIP INR 46390,46390,investment,card,,
15868 rupaye ka pharmacy medicine purchase bill aaya cash se pay kiya,15868,healthcare,cash,,
doctor consultation me 18296 rupaye khrcha hua card se diyee,18296,healthcare,card,,
doctor ke yahan 34459 rs. lgaa cash se diyee,34459,healthcare,cash,,
mutual fund sip ka SIP 41835 rs cash se bharaa,41835,investment,cash,,
Netflix subscription INR 10098,10098,entertainment,upi,,
!@#$%^&*(),NULL,blabla,csh,,EDA test row
Game purchase INR 2705,2705,entertainment,card,,
Swiggy order INR 19434,19434,food,upi,,
Online shopping payment INR 30136,30136,shopping,upi,,
21596 rupaiye ka hospital bill bill aaya upi se pay kiya,21596,healthcare,upi,,
19941 rupaiye ka doctor consultation bill aaya upi se pay kiya,19941,healthcare,upi,,
27259 rupay ka car loan emi installment cash se diye,27259,emi,cash,,
Concert ticket INR 20244,20244,entertainment,cash,,
Water bill INR 46698,46698,utilities,cash,,
flipkart order se 21860 rupay ka shopping kiya card se,21860,shopping,card,,
2667 rs. ka doctor consultation bill aaya cash se pay kiya,2667,healthcare,cash,,
hospital bill pe 47829 rupye khrcha hui davai pe cash se,47829,healthcare,cash,,
Internet recharge INR 1840,1840,utilities,card,,
loan ka car loan emi 40946 rupye upi se pay kya,40946,emi,upi,,
Movie ticket booking INR 2428,2428,entertainment,upi,,
hotel booking ki ticket 32684 rs. me book kiya upi se,32684,travel,upi,,
online shopping payment pe shopping kya 49061 rupye kharch upi se,49061,shopping,upi,,
zomato dinner ka khana 40955 rs me aaya card se die,40955,food,card,,
Cafe coffee INR 4397,4397,food,cash,,
padhai ke liye library fee pe 32630 rs kharcha kiya cash se,32630,education,cash,,
4992 rupay mutual fund sip me daale upi se,4992,investment,upi,,
Hospital bill INR 21053,21053,healthcare,card,,
Internet recharge INR 16963,16963,utilities,cash,,
mobile recharge recharge kiya 15729 rupye upi se,15729,utilities,upi,,
test transaction do not process,"1,000",,unknown,NULL,
Pizza delivery INR 49494,49494,food,cash,,
Flipkart order INR 48981,48981,shopping,cash,,
Bike loan EMI INR 27133,27133,emi,card,,
aaj restaurant bill se khana order kiyaa 9032 rupaye card se die,9032,food,card,,
clothing store bill pe shopping kiya 33641 rupaiye khrcha cash se,33641,shopping,cash,,
null,NaN,blabla,paypal,,
19455 rs stock purchase me daale cash se,19455,investment,cash,,
College fees payment INR 28920,28920,education,upi,,
movie ticket booking ka ticket 42054 rs me liya cash se,42054,entertainment,cash,,
Library fee INR 16371,16371,education,upi,,
online shopping payment pe shopping kia 43520 rs kharch upi se,43520,shopping,upi,,
Doctor consultation INR 36859,36859,healthcare,upi,,
Cafe coffee INR 26652,26652,food,upi,,
padhai ke liye college fees payment pe 16165 rupaiye khrcha kya card se,16165,education,card,,
21202 rupay ka car loan emi installment card se diy,21202,emi,card,,
Messy outlier tx UPIID123,99999999,blabla,csh,NULL,
20126 rs fixed deposit investment me daale card se,20126,investment,card,,
47809 rs. die library fee ke liye card se,47809,education,card,,
Restaurant bill INR 9032,9032,food,card,,
14459 rupaye kharch kiya concert ticket pe cash se,14459,entertainment,cash,,
drop table users;,99999999,unknown,csh,,
Medical test charges INR 31280,31280,healthcare,card,,
aaj uber ride lya 40312 rs cash se pay kya,40312,travel,cash,,
Flipkart order INR 13532,13532,shopping,upi,,
doctor consultation pe 36859 rs. kharchaa hui davai pe upi se,36859,healthcare,upi,,
Cafe coffee INR 27158,27158,food,upi,,
aaj stock purchase me 3326 rs. lagaye cash se,3326,investment,cash,,
24926 rupaiye ka personal loan installment installment cash se diyee,24926,emi,cash,,
online online shopping payment se 16565 ka saman liya upi se pay kia,16565,shopping,upi,,
movie ticket booking dekha 14999 rupaiye lga upi se diye,14999,entertainment,upi,,
Medical test charges INR 41679,41679,healthcare,upi,,
online course subscription ka course 46594 rupye me liya upi se pay kia,46594,education,upi,,
Library fee INR 21941,21941,education,upi,,
aaj train ticket irctc lia 49758 rupay cash se pay kiyaa,49758,travel,cash,,
