text,amount,category,payment_method
Personal loan installment INR 26025,26025,emi,upi
electricity bill payment recharge kia 45363 rupaiye card se,45363,utilities,card
Pharmacy medicine purchase INR 22871,22871,healthcare,card
library fee ki fees 29683 rupaye upi se bhra,29683,education,upi
Personal loan installment INR 41802,41802,emi,cash
Crypto investment INR 1610,1610,investment,upi
Ola cab INR 12106,12106,travel,cash
flight ticket booking ki ticket 24562 rs. me book kya card se,24562,travel,card
aaj fixed deposit investment me 20093 rs lagaye upi se,20093,investment,upi
1614 rupaye ka order diy clothing store bill pe cash se,1614,shopping,cash
Bike loan EMI INR 44302,44302,emi,cash
Water bill INR 20501,20501,utilities,upi
mobile recharge recharge kya 31674 rs. cash se,31674,utilities,cash
Library fee INR 29140,29140,education,cash
college fees payment ki fees 34118 rupye card se bhra,34118,education,card
aaj uber ride liya 10826 rupaye upi se pay kia,10826,travel,upi
Doctor consultation INR 36859,36859,healthcare,upi
41213 rupaiye karcha kiyaa cafe coffee pe cash se,41213,food,cash
Mobile recharge INR 15729,15729,utilities,upi
Swiggy order INR 18737,18737,food,cash
restaurant bill me 11308 rs ka khana khya cash se,11308,food,cash
padhai ke liye online course subscription pe 19262 rupay kharch kia card se,19262,education,card
food court payment me 3710 rs. ka khana khaya upi se,3710,food,upi
9510 rupye lga train ticket irctc me cash se die,9510,travel,cash
aaj ola cab liyaa 1590 rupye upi se pay kia,1590,travel,upi
37144 rupaiye ka water bill bill pay kia cash se,37144,utilities,cash
online shopping payment se 45940 rs ka shopping kiya upi se,45940,shopping,upi
online course subscription ki fees 2192 rs cash se bhra,2192,education,cash
Bike loan EMI INR 40005,40005,emi,cash
aaj internet recharge ka 30520 rupye ka bill upi se bharaa,30520,utilities,upi
Pizza delivery INR 12825,12825,food,upi
Online course subscription INR 43331,43331,education,upi
"cafe coffee pe 31429 ka bill tha, cash se pay kya",31429,food,cash
Crypto investment INR 43862,43862,investment,upi
food court payment ka khana 15072 rupye me aaya cash se die,15072,food,cash
Gas bill payment INR 35993,35993,utilities,upi
Exam fee INR 9484,9484,education,card
Stock purchase INR 35192,35192,investment,cash
pharmacy medicine purchase pe 12468 rs. kharcha hui davai pe cash se,12468,healthcare,cash
Uber ride INR 15034,15034,travel,card
college fees payment ka course 42660 rs me liyaa cash se pay kiyaa,42660,education,cash
personal loan installment ki EMI 47268 rupay cash se bhara,47268,emi,cash
Personal loan installment INR 22328,22328,emi,upi
41264 rupye ka hospital bill bill aaya card se pay kia,41264,healthcare,card
Home loan EMI INR 268,268,emi,card
Medical test charges INR 20572,20572,healthcare,upi
32193 rs ka hospital bill bill aaya card se pay kiya,32193,healthcare,card
movie ticket booking ka ticket 42054 rs me liya cash se,42054,entertainment,cash
netflix subscription ka ticket 3489 rupay me lya upi se,3489,entertainment,upi
electronics shopping pe shopping kia 13334 rupye karcha upi se,13334,shopping,upi
Water bill INR 20388,20388,utilities,card
Library fee INR 16371,16371,education,upi
26526 rs ka doctor consultation bill aaya upi se pay kiyaa,26526,healthcare,upi
Library fee INR 3411,3411,education,cash
amazon purchase pe shopping kya 40704 rupaiye khrcha upi se,40704,shopping,upi
32447 rs ka credit card emi installment card se diye,32447,emi,card
bike loan emi EMI 14361 rupye kat gaye card se,14361,emi,card
Game purchase INR 49655,49655,entertainment,card
Exam fee INR 26476,26476,education,cash
personal loan installment ki EMI 24322 rupaye upi se bharaa,24322,emi,upi
47233 rupay die library fee ke liye upi se,47233,education,upi
Mobile recharge INR 29319,29319,utilities,cash
22548 rs. diyee online course subscription ke liye upi se,22548,education,upi
credit card emi EMI 46342 rupye kat gaye card se,46342,emi,card
food court payment me 29176 rupye ka khana khya card se,29176,food,card
fixed deposit investment ka SIP 28570 rupay upi se bharaa,28570,investment,upi
Concert ticket INR 38968,38968,entertainment,card
personal loan installment ki EMI 49895 rupye cash se bhara,49895,emi,cash
Hotel booking INR 4219,4219,travel,cash
Electricity bill payment INR 26745,26745,utilities,upi
Lunch at hotel INR 784,784,food,cash
aaj ppf contribution me 41050 rupaiye lagaye cash se,41050,investment,cash
Bike loan EMI INR 38119,38119,emi,cash
Hotel booking INR 6270,6270,travel,upi
Hospital bill INR 44223,44223,healthcare,upi
7932 rupye khrcha kiyaa food court payment pe cash se,7932,food,cash
29140 rupay diyee library fee ke liye cash se,29140,education,cash
mobile recharge recharge kia 36285 rs cash se,36285,utilities,cash
Amazon purchase INR 14233,14233,shopping,upi
18454 rupaiye ka order diye electronics shopping pe cash se,18454,shopping,cash
Cafe coffee INR 38072,38072,food,card
18567 rupaiye kharcha kia movie ticket booking pe card se,18567,entertainment,card
Water bill INR 42483,42483,utilities,cash
Mobile recharge INR 5785,5785,utilities,cash
aaj swiggy order se khana order kya 3507 rs. card se diye,3507,food,card
Hotel booking INR 24121,24121,travel,cash
Pharmacy medicine purchase INR 39473,39473,healthcare,cash
home loan emi EMI 2780 rupaiye kat gaye upi se,2780,emi,upi
aaj mobile recharge ka 47207 rupye ka bill card se bhara,47207,utilities,card
21048 rs lagaa train ticket irctc me cash se die,21048,travel,cash
padhai ke liye college fees payment pe 18694 rs. karcha kiyaa card se,18694,education,card
Home loan EMI INR 40384,40384,emi,upi
online course subscription ki fees 44130 rupay cash se bharaa,44130,education,cash
Credit card EMI INR 4236,4236,emi,cash
Library fee INR 34386,34386,education,upi
Doctor consultation INR 2667,2667,healthcare,cash
mutual fund sip ka SIP 25033 rupay card se bhara,25033,investment,card
17122 rs. lgaa ola cab me upi se diye,17122,travel,upi
netflix subscription ka ticket 26178 rupay me lia cash se,26178,entertainment,cash
Exam fee INR 9760,9760,education,card
netflix subscription dekha 3489 rupay laga upi se diyee,3489,entertainment,upi
8532 rupaiye lagaa hotel booking me card se diy,8532,travel,card
Car loan EMI INR 1982,1982,emi,card
Electricity bill payment INR 32705,32705,utilities,cash
aaj stock purchase me 30164 rs lagaye card se,30164,investment,card
Pizza delivery INR 48825,48825,food,upi
Crypto investment INR 23866,23866,investment,upi
flight ticket booking ka kiraya 11610 rs diye cash se,11610,travel,cash
Mutual fund SIP INR 44947,44947,investment,upi
aaj restaurant bill se khana order kiyaa 9032 rupaye card se die,9032,food,card
18928 rupye ka credit card emi installment card se die,18928,emi,card
doctor consultation me 40227 rupaiye kharch hua upi se die,40227,healthcare,upi
Pizza delivery INR 46891,46891,food,cash
Stock purchase INR 31465,31465,investment,upi
Electricity bill payment INR 37326,37326,utilities,cash
Credit card EMI INR 40358,40358,emi,cash
Movie ticket booking INR 26131,26131,entertainment,upi
Lunch at hotel INR 12649,12649,food,upi
concert ticket dekha 27551 rs. lgaa cash se diy,27551,entertainment,cash
Flipkart order INR 14692,14692,shopping,cash
27442 rs ka order diy electronics shopping pe upi se,27442,shopping,upi
online online shopping payment se 3536 ka saman lia upi se pay kiya,3536,shopping,upi
9709 rupay stock purchase me daale cash se,9709,investment,cash
clothing store bill se 12880 rs. ka shopping kia card se,12880,shopping,card
14764 rs ka hospital bill bill aaya cash se pay kiyaa,14764,healthcare,cash
24266 rs. ka home loan emi installment cash se die,24266,emi,cash
water bill recharge kiya 2800 rs card se,2800,utilities,card
Uber ride INR 48006,48006,travel,cash
Electronics shopping INR 13334,13334,shopping,upi
internet recharge ka bill 18016 rupaiye card se bharaa,18016,utilities,card
Medical test charges INR 2009,2009,healthcare,cash
Stock purchase INR 27435,27435,investment,upi
Personal loan installment INR 1161,1161,emi,upi
ola cab ka kiraya 12106 rupaiye die cash se,12106,travel,cash
Water bill INR 24269,24269,utilities,upi
Mobile recharge INR 39432,39432,utilities,upi
aaj hotel booking lya 40570 rs cash se pay kia,40570,travel,cash
concert ticket dekha 41654 rs lagaa cash se diyee,41654,entertainment,cash
25225 rupay kharch kiyaa netflix subscription pe upi se,25225,entertainment,upi
college fees payment ki fees 47985 rupye cash se bhra,47985,education,cash
medical test charges me 14034 rs khrcha hua cash se die,14034,healthcare,cash
padhai ke liye library fee pe 27684 rupaiye kharchaa kya card se,27684,education,card
online flipkart order se 1411 ka saman liyaa card se pay kiyaa,1411,shopping,card
medical test charges pe 24687 rupye kharcha hui davai pe upi se,24687,healthcare,upi
Online course subscription INR 44130,44130,education,cash
Personal loan installment INR 46084,46084,emi,upi
online flipkart order se 22995 ka saman liya cash se pay kya,22995,shopping,cash
Doctor consultation INR 26612,26612,healthcare,card
fixed deposit investment me 43713 rupay invest kiya upi se,43713,investment,upi
ppf contribution ka SIP 37359 rupaiye upi se bhara,37359,investment,upi
Restaurant bill INR 23907,23907,food,cash
27378 rupay die exam fee ke liye upi se,27378,education,upi
9587 rupye khrcha kya zomato dinner pe card se,9587,food,card
Exam fee INR 14719,14719,education,upi
32797 rupaiye ka pharmacy medicine purchase bill aaya cash se pay kia,32797,healthcare,cash
netflix subscription ka ticket 41242 rupaiye me liyaa cash se,41242,entertainment,cash
amazon purchase pe shopping kya 41134 rs kharchaa cash se,41134,shopping,cash
Internet recharge INR 1395,1395,utilities,upi
flight ticket booking ki ticket 49865 rs me book kya upi se,49865,travel,upi
aaj ppf contribution me 19898 rs. lagaye card se,19898,investment,card
pharmacy medicine purchase me 17345 rupay kharcha hua card se die,17345,healthcare,card
zomato dinner me 28593 rupay ka khana khaya card se,28593,food,card
padhai ke liye online course subscription pe 44130 rupye karcha kiyaa cash se,44130,education,cash
hospital bill me 45616 rupay kharchaa hua card se diyee,45616,healthcare,card
restaurant bill ka khana 36124 rupay me aaya card se diyee,36124,food,card
ppf contribution me 10474 rupye invest kia upi se,10474,investment,upi
padhai ke liye exam fee pe 9484 rupaye kharch kia card se,9484,education,card
aaj mutual fund sip me 12211 rs lagaye upi se,12211,investment,upi
electricity bill payment ka bill 19204 rupye card se bhra,19204,utilities,card
Home loan EMI INR 10809,10809,emi,card
stock purchase ka SIP 9709 rupye cash se bharra,9709,investment,cash
doctor consultation pe 36859 rs. kharchaa hui davai pe upi se,36859,healthcare,upi
hospital bill me 16643 rupye kharchaa hua card se diye,16643,healthcare,card
aaj cafe coffee se khana order kiya 37514 rupaiye card se diy,37514,food,card
Pizza delivery INR 45435,45435,food,card
Online course subscription INR 42264,42264,education,cash
Water bill INR 17251,17251,utilities,cash
flight ticket booking ki ticket 21924 rupye me book kia cash se,21924,travel,cash
Online shopping payment INR 23220,23220,shopping,upi
21209 rs. diye college fees payment ke liye card se,21209,education,card
aaj ola cab liyaa 9983 rupaye card se pay kia,9983,travel,card
34000 rs lagaa train ticket irctc me cash se diye,34000,travel,cash
Fixed deposit investment INR 47076,47076,investment,upi
12969 rs lagaa bus ticket me card se diye,12969,travel,card
27426 rs. ka medical test charges bill aaya cash se pay kia,27426,healthcare,cash
Library fee INR 31302,31302,education,upi
46390 rupay mutual fund sip me daale card se,46390,investment,card
Train ticket IRCTC INR 22609,22609,travel,upi
aaj electricity bill payment ka 19204 rs. ka bill card se bharaa,19204,utilities,card
crypto investment me 1610 rupye invest kiya upi se,1610,investment,upi
mutual fund sip me 29848 rs. invest kiyaa upi se,29848,investment,upi
internet recharge recharge kia 25658 rs. card se,25658,utilities,card
34963 rupay diye exam fee ke liye upi se,34963,education,upi
Hospital bill INR 24208,24208,healthcare,card
"swiggy order pe 25051 ka bill tha, cash se pay kiyaa",25051,food,cash
2667 rs. ka doctor consultation bill aaya cash se pay kiya,2667,healthcare,cash
aaj mutual fund sip me 13070 rupye lagaye cash se,13070,investment,cash
aaj uber ride liya 5669 rs card se pay kiya,5669,travel,card
42375 rupay khrcha kia movie ticket booking pe card se,42375,entertainment,card
concert ticket ka ticket 35360 rs me liyaa cash se,35360,entertainment,cash
online shopping payment pe shopping kia 43520 rs kharch upi se,43520,shopping,upi
Exam fee INR 40798,40798,education,upi
hospital bill pe 47829 rupye khrcha hui davai pe cash se,47829,healthcare,cash
movie ticket booking dekha 20566 rupay lgaa card se diyee,20566,entertainment,card
online shopping payment se 37238 rs. ka shopping kiyaa upi se,37238,shopping,upi
Home loan EMI INR 18872,18872,emi,cash
14382 rupaiye kharchaa kiya food court payment pe upi se,14382,food,upi
Ola cab INR 6339,6339,travel,upi
Fixed deposit investment INR 20126,20126,investment,card
Movie ticket booking INR 24591,24591,entertainment,upi
Clothing store bill INR 27285,27285,shopping,cash
restaurant bill me 17154 rupaye ka khana khaaya card se,17154,food,card
Train ticket IRCTC INR 22566,22566,travel,upi
online course subscription ka course 42264 rs me lia cash se pay kiyaa,42264,education,cash
36250 rupaiye ka gas bill payment bill pay kiyaa upi se,36250,utilities,upi
7731 rs. kharcha kia movie ticket booking pe card se,7731,entertainment,card
exam fee ka course 35334 rs. me liyaa card se pay kiyaa,35334,education,card
flipkart order se 15439 rupay ka shopping kiya upi se,15439,shopping,upi
Stock purchase INR 37299,37299,investment,cash
33733 rs. diy library fee ke liye upi se,33733,education,upi
padhai ke liye library fee pe 44452 rupaiye kharchaa kiya card se,44452,education,card
library fee ki fees 44452 rupye card se bhra,44452,education,card
amazon purchase pe shopping kia 8762 rs. kharchaa cash se,8762,shopping,cash
507 rupaye crypto investment me daale card se,507,investment,card
movie ticket booking ka subscription 30807 rupay card se renew kiya,30807,entertainment,card
Car loan EMI INR 27259,27259,emi,cash
724 rupaiye ka hospital bill bill aaya upi se pay kiya,724,healthcare,upi
internet recharge ka bill 20639 rs upi se bhara,20639,utilities,upi
Mutual fund SIP INR 32642,32642,investment,upi
Ola cab INR 23688,23688,travel,cash
college fees payment ki fees 48826 rupaiye upi se bharaa,48826,education,upi
Clothing store bill INR 49483,49483,shopping,cash
257 rupye ka order diyee amazon purchase pe card se,257,shopping,card
31302 rupye diy library fee ke liye upi se,31302,education,upi
6585 rs khrcha kya movie ticket booking pe cash se,6585,entertainment,cash
aaj internet recharge ka 7712 rupaye ka bill card se bharaa,7712,utilities,card
48731 rupay ka hospital bill bill aaya upi se pay kia,48731,healthcare,upi
crypto investment me 507 rs. invest kia card se,507,investment,card
internet recharge ka bill 29529 rupaiye card se bhara,29529,utilities,card
"pizza delivery pe 46891 ka bill tha, cash se pay kya",46891,food,cash
library fee ki fees 34386 rupay upi se bhra,34386,education,upi
45916 rs. kharch kya game purchase pe upi se,45916,entertainment,upi
45737 rupaye diyee exam fee ke liye cash se,45737,education,cash
doctor ke yahan 1311 rupye lga upi se diy,1311,healthcare,upi
Movie ticket booking INR 30543,30543,entertainment,card
Doctor consultation INR 29081,29081,healthcare,upi
Concert ticket INR 7643,7643,entertainment,upi
3411 rupaye die library fee ke liye cash se,3411,education,cash
36205 rs fixed deposit investment me daale card se,36205,investment,card
34356 rupaiye ka pharmacy medicine purchase bill aaya card se pay kiyaa,34356,healthcare,card
Ola cab INR 1590,1590,travel,upi
31995 rs. ka hospital bill bill aaya upi se pay kia,31995,healthcare,upi
online electronics shopping se 4429 ka saman lia card se pay kya,4429,shopping,card
44223 rupaiye ka hospital bill bill aaya upi se pay kiyaa,44223,healthcare,upi
28634 rupaiye ka order diye electronics shopping pe cash se,28634,shopping,cash
college fees payment ki fees 40818 rupye card se bharra,40818,education,card
online shopping payment pe shopping kya 35868 rupye kharcha upi se,35868,shopping,upi
car loan emi ki EMI 35906 rs card se bhara,35906,emi,card
"cafe coffee pe 28642 ka bill tha, cash se pay kya",28642,food,cash
Doctor consultation INR 38968,38968,healthcare,card
personal loan installment EMI 13688 rupye kat gaye card se,13688,emi,card
Movie ticket booking INR 27072,27072,entertainment,card
Fixed deposit investment INR 28570,28570,investment,upi
Car loan EMI INR 6157,6157,emi,card
Library fee INR 10086,10086,education,upi
car loan emi ki EMI 14490 rupaye upi se bharaa,14490,emi,upi
library fee ka course 29029 rupye me liya cash se pay kiya,29029,education,cash
doctor ke yahan 35787 rs. lagaa card se diye,35787,healthcare,card
aaj train ticket irctc lia 49758 rupay cash se pay kiyaa,49758,travel,cash
Credit card EMI INR 24017,24017,emi,cash
aaj restaurant bill se khana order kya 36124 rs card se die,36124,food,card
Exam fee INR 46161,46161,education,card
Flight ticket booking INR 7480,7480,travel,cash
netflix subscription ka subscription 34435 rupye upi se renew kia,34435,entertainment,upi
ppf contribution ka SIP 2828 rupaye cash se bharaa,2828,investment,cash
electricity bill payment recharge kiya 11093 rupaye upi se,11093,utilities,upi
Library fee INR 38387,38387,education,cash
clothing store bill pe shopping kya 27285 rupay khrcha cash se,27285,shopping,cash
internet recharge ka bill 13072 rupaiye cash se bharra,13072,utilities,cash
Pizza delivery INR 931,931,food,card
Restaurant bill INR 41436,41436,food,upi
48781 rs. ka water bill bill pay kiyaa card se,48781,utilities,card
train ticket irctc ki ticket 27394 rs me book kya card se,27394,travel,card
padhai ke liye exam fee pe 22135 rupay khrcha kiyaa cash se,22135,education,cash
Library fee INR 31424,31424,education,card
Food court payment INR 847,847,food,upi
online course subscription ki fees 49632 rupay card se bhara,49632,education,card
College fees payment INR 21923,21923,education,card
doctor consultation pe 47452 rs kharchaa hui davai pe upi se,47452,healthcare,upi
Pharmacy medicine purchase INR 43632,43632,healthcare,card
25297 rupay ka doctor consultation bill aaya card se pay kiya,25297,healthcare,card
Uber ride INR 26497,26497,travel,card
Bike loan EMI INR 34820,34820,emi,cash
padhai ke liye exam fee pe 39733 rs karcha kya cash se,39733,education,cash
medical test charges pe 31280 rs khrcha hui davai pe card se,31280,healthcare,card
28620 rupay laga ola cab me cash se die,28620,travel,cash
Game purchase INR 47916,47916,entertainment,cash
uber ride ka kiraya 42573 rs diyee cash se,42573,travel,cash
Pharmacy medicine purchase INR 34356,34356,healthcare,card
exam fee ki fees 49514 rupye upi se bhra,49514,education,upi
Mobile recharge INR 32382,32382,utilities,cash
College fees payment INR 48851,48851,education,cash
water bill recharge kia 46401 rs upi se,46401,utilities,upi
Pizza delivery INR 32250,32250,food,cash
loan ka personal loan installment 10558 rupay cash se pay kia,10558,emi,cash
netflix subscription ka subscription 10098 rupye upi se renew kiya,10098,entertainment,upi
pharmacy medicine purchase pe 43632 rupay kharchaa hui davai pe card se,43632,healthcare,card
Netflix subscription INR 33127,33127,entertainment,card
online flipkart order se 23890 ka saman lya card se pay kiya,23890,shopping,card
Internet recharge INR 18016,18016,utilities,card
bus ticket ki ticket 20930 rs me book kiyaa cash se,20930,travel,cash
flipkart order se 22831 rupaiye ka shopping kya card se,22831,shopping,card
hotel booking ka kiraya 4219 rs. diyee cash se,4219,travel,cash
ola cab ki ticket 18152 rupaye me book kia card se,18152,travel,card
21924 rupye lgaa flight ticket booking me cash se diy,21924,travel,cash
credit card emi ki EMI 1351 rupay card se bhara,1351,emi,card
Electronics shopping INR 20593,20593,shopping,upi
38908 rupaye ka car loan emi installment cash se diy,38908,emi,cash
43796 rupye kharcha kiya movie ticket booking pe cash se,43796,entertainment,cash
bike loan emi ki EMI 22161 rupaiye card se bharra,22161,emi,card
bus ticket ki ticket 16317 rupay me book kya card se,16317,travel,card
Medical test charges INR 41679,41679,healthcare,upi
loan ka car loan emi 1982 rs. card se pay kiya,1982,emi,card
Zomato dinner INR 40955,40955,food,card
fixed deposit investment me 41097 rs invest kiyaa card se,41097,investment,card
Uber ride INR 16659,16659,travel,card
game purchase dekha 19281 rs. laga card se die,19281,entertainment,card
Exam fee INR 4436,4436,education,cash
41437 rupay kharchaa kia concert ticket pe cash se,41437,entertainment,cash
library fee ki fees 43194 rs upi se bhara,43194,education,upi
crypto investment me 5216 rupay invest kya upi se,5216,investment,upi
Online course subscription INR 40270,40270,education,upi
aaj uber ride liya 21449 rs. upi se pay kia,21449,travel,upi
PPF contribution INR 41050,41050,investment,cash
Medical test charges INR 48991,48991,healthcare,card
Swiggy order INR 24784,24784,food,card
credit card emi ki EMI 7170 rupaye card se bhara,7170,emi,card
34162 rupaye ka order diyee flipkart order pe card se,34162,shopping,card
Hospital bill INR 13118,13118,healthcare,card
aaj mobile recharge ka 36285 rupaiye ka bill cash se bharra,36285,utilities,cash
loan ka car loan emi 6157 rupaiye card se pay kiya,6157,emi,card
Electricity bill payment INR 20235,20235,utilities,upi
medical test charges pe 1654 rupye karcha hui davai pe card se,1654,healthcare,card
33697 rs. ka order diyee flipkart order pe upi se,33697,shopping,upi
PPF contribution INR 40197,40197,investment,upi
aaj stock purchase me 32070 rs lagaye card se,32070,investment,card
uber ride ka kiraya 6702 rupaiye diy cash se,6702,travel,cash
hospital bill pe 14208 rupye khrcha hui davai pe cash se,14208,healthcare,cash
Cafe coffee INR 19481,19481,food,cash
padhai ke liye library fee pe 32630 rs kharcha kiya cash se,32630,education,cash
12308 rupaiye lga ola cab me cash se diy,12308,travel,cash
exam fee ki fees 13464 rs. card se bharaa,13464,education,card
Food court payment INR 3710,3710,food,upi
Hotel booking INR 32684,32684,travel,upi
Concert ticket INR 21214,21214,entertainment,upi
bike loan emi ki EMI 22440 rupaye card se bhra,22440,emi,card
16812 rs. ka electricity bill payment bill pay kiya cash se,16812,utilities,cash
Fixed deposit investment INR 15181,15181,investment,cash
Hospital bill INR 45060,45060,healthcare,card
Ola cab INR 42023,42023,travel,upi
zomato dinner me 6852 rupaiye ka khana khya card se,6852,food,card
23890 rupaye ka order diy flipkart order pe card se,23890,shopping,card
movie ticket booking ka subscription 20566 rupay card se renew kya,20566,entertainment,card
train ticket irctc ki ticket 13296 rupye me book kya upi se,13296,travel,upi
Hospital bill INR 35522,35522,healthcare,cash
Pharmacy medicine purchase INR 6863,6863,healthcare,cash
Credit card EMI INR 33964,33964,emi,upi
Hotel booking INR 16771,16771,travel,cash
Car loan EMI INR 39304,39304,emi,upi
Electronics shopping INR 43265,43265,shopping,upi
Medical test charges INR 37180,37180,healthcare,upi
exam fee ki fees 8233 rupay card se bhra,8233,education,card
aaj pizza delivery se khana order kya 41083 rs card se diyee,41083,food,card
library fee ka course 37624 rupay me liya card se pay kiyaa,37624,education,card
Restaurant bill INR 30530,30530,food,upi
Flight ticket booking INR 4564,4564,travel,upi
college fees payment ka course 14408 rs me liya card se pay kia,14408,education,card
Personal loan installment INR 48231,48231,emi,upi
Flipkart order INR 22831,22831,shopping,card
College fees payment INR 1210,1210,education,cash
Bus ticket INR 33914,33914,travel,card
Netflix subscription INR 10098,10098,entertainment,upi
gas bill payment recharge kya 35993 rupay upi se,35993,utilities,upi
doctor consultation pe 18823 rupay khrcha hui davai pe cash se,18823,healthcare,cash
Mobile recharge INR 19748,19748,utilities,upi
Home loan EMI INR 24266,24266,emi,cash
35065 rupaye ka electricity bill payment bill pay kya card se,35065,utilities,card
hospital bill pe 45060 rupaye karcha hui davai pe card se,45060,healthcare,card
library fee ka course 12710 rs. me lya card se pay kiya,12710,education,card
Game purchase INR 13458,13458,entertainment,cash
car loan emi ki EMI 29107 rupaye card se bhara,29107,emi,card
9805 rupay ka bike loan emi installment cash se die,9805,emi,cash
bike loan emi EMI 37761 rs. kat gaye card se,37761,emi,card
Personal loan installment INR 40228,40228,emi,upi
aaj pizza delivery se khana order kya 49494 rupaiye cash se diyee,49494,food,cash
Swiggy order INR 19434,19434,food,upi
internet recharge ka bill 11450 rupaye cash se bharra,11450,utilities,cash
