text,amount,category,payment_method,payment_provider,location,notes
paytm payment ₹22185 Gas bill payment,22185,utilities,upi,paytm,,
Electronics shopping INR 13935,13935,shopping,upi,gpay,,
hospital bill me 32582 rupay karcha hua Paytm se diy,32582,healthcare,upi,paytm,,
Ola cab INR 27841,27841,travel,upi,gpay,,
petrol diesel fuel ₹32669 at pump CRED,32669,travel,upi,cred,,
online shopping payment se 22813 rs. ka shopping kya card se,22813,shopping,card,,,
split bill 22088 rs. cred se diy,22088,friends,upi,cred,,
Bus ticket INR 34148,34148,travel,card,,,
gas bill payment ka bill 42845 rupye BHIM se bhra,42845,utilities,upi,bhim,,
padhai ke liye college fees payment pe 35016 rupay khrcha kiyaa Phone Pe se,35016,education,upi,phonepe,,
3420 rs lga hotel booking me card se diy,3420,travel,card,,,
Movie ticket booking INR 44916,44916,entertainment,card,,,
online course subscription ka course 41425 rupaye me lya BHIM se pay kiyaa,41425,education,upi,bhim,,
14330 rupaiye kharcha kya pizza delivery pe card se,14330,food,card,,,
lunch dinner food order swiggy zomato restaurant meal ₹19750 CRED,19750,food,upi,cred,,
home loan emi EMI 20456 rs kat gaye card se,20456,emi,card,,,
school college tuition course books fees ₹21240 gpay,21240,education,upi,gpay,,
online course subscription ki fees 11005 rupay gpay se bhara,11005,education,upi,gpay,,
electricity water broadband mobile recharge bill ₹35169 paytm,35169,utilities,upi,paytm,,
11657 rupaye ka order die flipkart order pe PhonePe se,11657,shopping,upi,phonepe,,
train ticket irctc ka kiraya 12799 rs. diye card se,12799,travel,card,,,
school college tuition course books fees ₹47953 cash,47953,education,cash,,,
Rs. 10059 sent to Priya via gpay UPI,10059,friends,upi,gpay,,
game purchase ka subscription 8989 rupaiye cash se renew kiyaa,8989,entertainment,cash,,,
bike loan emi EMI 18952 rs. kat gaye Paytm se,18952,emi,upi,paytm,,
loan ka bike loan emi 36019 rs GPay se pay kia,36019,emi,upi,gpay,,
paytm: Payment of ₹10880 to Rahul successful,10880,friends,upi,paytm,,
14271 rupay kharch kia food court payment pe paytm se,14271,food,upi,paytm,,
aaj restaurant bill se khana order kiya 6543 rupaiye Paytm se diyee,6543,food,upi,paytm,,
loan ka home loan emi 46656 rupay card se pay kiyaa,46656,emi,card,,,
Rs. 33325 sent to Pharmacy medicine purchase via GPay UPI,33325,healthcare,upi,gpay,,
Exam fee INR 19019,19019,education,card,,,
Personal loan installment INR 39727,39727,emi,card,,,
Crypto investment INR 10471,10471,investment,upi,phonepe,,
Ola cab INR 47568,47568,travel,cash,,,
grocery vegetables milk bread ₹36021 paid PhonePe,36021,food,upi,phonepe,,
mutual fund SIP stocks PPF FD investment ₹49448 gpay,49448,investment,upi,gpay,,
37429 rupaiye fixed deposit investment me daale card se,37429,investment,card,,,
1812 rupaiye ka mobile recharge bill pay kya card se,1812,utilities,card,,,
flight ticket booking ki ticket 605 rs me book kiyaa cred se,605,travel,upi,cred,,
school college tuition course books fees ₹36859 card,36859,education,card,,,
Paid ₹37421 to Netflix subscription using cred,37421,entertainment,upi,cred,,
school college tuition course books fees ₹10335 Phone Pe,10335,education,upi,phonepe,,
hotel booking ki ticket 436 rupaiye me book kiyaa bhim se,436,travel,upi,bhim,,
just random text 123,NULL,error,123,,,EDA test row
lunch dinner food order swiggy zomato restaurant meal ₹27667 Paytm,27667,food,upi,paytm,,
Hospital bill INR 7020,7020,healthcare,upi,gpay,,
₹921 debited from your account for flatmate rent share (bhim UPI),921,friends,upi,bhim,,
flight ticket booking ki ticket 45011 rupay me book kiya BHIM se,45011,travel,upi,bhim,,
Library fee INR 42311,42311,education,upi,bhim,,
padhai ke liye library fee pe 36738 rs kharchaa kia bhim se,36738,education,upi,bhim,,
Mutual fund SIP INR 15241,15241,investment,upi,gpay,,
Doctor consultation INR 9721 paid through Phone Pe,9721,healthcare,upi,phonepe,,
Internet recharge INR 41421,41421,utilities,upi,phonepe,,
game purchase ka ticket 17523 rupaye me lya card se,17523,entertainment,card,,,
Stock purchase INR 45595 paid through cred,45595,investment,upi,cred,,
Water bill INR 9222,9222,utilities,upi,bhim,,
birthday gift money transfer friend ₹18469 via BHIM,18469,friends,upi,bhim,,
42670 rupaiye diy online course subscription ke liye card se,42670,education,card,,,
amazon flipkart myntra online shopping order ₹49258 card,49258,shopping,card,,,
amazon flipkart myntra online shopping order ₹7983 bhim,7983,shopping,upi,bhim,,
petrol diesel fuel ₹1343 at pump Google Pay,1343,travel,upi,gpay,,
Paid ₹41585 to Online course subscription using gpay paid from account …8452,41585,education,upi,gpay,,
clothing store bill se 25070 rupay ka shopping kiya CRED se,25070,shopping,upi,cred,,
29505 rupay die exam fee ke liye card se,29505,education,card,,,
Transaction successful — ₹24063 to Zomato dinner via GPay UPI,24063,food,upi,gpay,,
internet recharge recharge kia 17874 rs CRED se,17874,utilities,upi,cred,,
Restaurant bill INR 31012,31012,food,upi,gpay,,
2078 rupye lga hotel booking me card se die,2078,travel,card,,,
school college tuition course books fees ₹41040 cash,41040,education,cash,,,
Pizza delivery INR 44466,44466,food,cash,,,
padhai ke liye exam fee pe 29019 rupaye kharch kiyaa card se,29019,education,card,,,
food court payment ka khana 30236 rupaye me aaya cash se die,30236,food,cash,,,
hospital doctor pharmacy medicine diagnostic ₹28137 CRED,28137,healthcare,upi,cred,,
ppf contribution me 11307 rs invest kiya card se,11307,investment,card,,,
gpay: Payment of ₹3320 to Electricity bill payment successful,3320,utilities,upi,gpay,,
hospital bill me 14615 rupay kharcha hua Phone Pe se diye,14615,healthcare,upi,phonepe,,
College fees payment INR 35772,35772,education,upi,gpay,,
18555 rupaiye kharcha kya concert ticket pe gpay se,18555,entertainment,upi,gpay,,
internet recharge recharge kya 5376 rs. card se,5376,utilities,card,,,
BHIM: Payment of ₹6035 to Amazon purchase successful,6035,shopping,upi,bhim,,
aaj zomato dinner se khana order kia 39480 rupay card se diy,39480,food,card,,,
hospital doctor pharmacy medicine diagnostic ₹21419 BHIM,21419,healthcare,upi,bhim,,
PPF contribution INR 10326,10326,investment,upi,phonepe,,
aaj water bill ka 27329 rupye ka bill PhonePe se bhra,27329,utilities,upi,phonepe,,
Flipkart order INR 6133,6133,shopping,cash,,,
Fixed deposit investment INR 13601,13601,investment,card,,,
paid back friend lent money ₹18463 Paytm,18463,friends,upi,paytm,,
Mutual fund SIP INR 34551,34551,investment,upi,gpay,,
library fee ka course 26929 rupay me liyaa card se pay kiya,26929,education,card,,,
Bus ticket INR 22543,22543,travel,card,,,
exam fee ka course 33297 rupay me liya cash se pay kiya,33297,education,cash,,,
Crypto investment INR 34550,34550,investment,upi,cred,,
,-100,junk_tag,123,,NaN,
Exam fee INR 30358,30358,education,upi,bhim,,
doctor ke yahan 28190 rupaiye laga cash se diye,28190,healthcare,cash,,,
Clothing store bill INR 20195,20195,shopping,card,,,
Neha INR 12293 paid through GPay,12293,friends,upi,gpay,,
College fees payment INR 37002,37002,education,upi,bhim,,
school college tuition course books fees ₹6595 card,6595,education,card,,,
Online course subscription INR 20194,20194,education,upi,gpay,,
Home loan EMI INR 36404,36404,emi,card,,,
Water bill INR 14249 paid through cred,14249,utilities,upi,cred,,
split bill 23636 rupay paytm se die,23636,friends,upi,paytm,,
movie ticket booking ka subscription 18702 rs. card se renew kiyaa,18702,entertainment,card,,,
netflix spotify hotstar subscription movie show ₹19807 cash,19807,entertainment,cash,,,
Movie ticket booking INR 43144,43144,entertainment,upi,bhim,,
Transaction successful — ₹20721 to Mobile recharge via bhim UPI,20721,utilities,upi,bhim,,
flight ticket booking ka kiraya 37303 rupaye diyee card se,37303,travel,card,,,
Credit card EMI INR 34106,34106,emi,card,,,
online electronics shopping se 5676 ka saman lia CRED se pay kya,5676,shopping,upi,cred,,
electronics clothes purchase ₹48627 via card,48627,shopping,card,,,
Electricity bill payment INR 20791,20791,utilities,card,,,
netflix spotify hotstar subscription movie show ₹43819 cash,43819,entertainment,cash,,,
petrol diesel fuel ₹29160 at pump Phone Pe,29160,travel,upi,phonepe,,
18147 rupaye ka personal loan installment installment paytm se diye,18147,emi,upi,paytm,,
movie ticket booking ka subscription 6257 rupaiye card se renew kiyaa,6257,entertainment,card,,,
42331 rupye lagaa ola cab me card se diye,42331,travel,card,,,
cafe coffee ka khana 33946 rupay me aaya phonepe se die,33946,food,upi,phonepe,,
Paytm: Payment of ₹4633 to Neha successful,4633,friends,upi,paytm,,
Online shopping payment INR 33250,33250,shopping,upi,bhim,,
Concert ticket INR 12775,12775,entertainment,cash,,,
₹32346 debited from your account for Train ticket IRCTC (cred UPI),32346,travel,upi,cred,,
netflix subscription ka subscription 18165 rs phonepe se renew kiyaa,18165,entertainment,upi,phonepe,,
doctor consultation pe 39046 rupaye kharcha hui davai pe card se,39046,healthcare,card,,,
mutual fund SIP stocks PPF FD investment ₹32492 card,32492,investment,card,,,
school college tuition course books fees ₹7438 bhim,7438,education,upi,bhim,,
padhai ke liye exam fee pe 17051 rupay kharchaa kya cash se,17051,education,cash,,,
exam fee ka course 20144 rupaiye me lya cash se pay kiya,20144,education,cash,,,
BHIM: Payment of ₹42683 to Library fee successful,42683,education,upi,bhim,,
school college tuition course books fees ₹39647 PhonePe,39647,education,upi,phonepe,,
Movie ticket booking INR 5127,5127,entertainment,card,,,
Exam fee INR 11172,11172,education,upi,cred,,
2072 rupaiye lagaa hotel booking me card se die,2072,travel,card,,,
Lunch at hotel INR 24900,24900,food,upi,paytm,,
aaj water bill ka 40308 rupay ka bill cash se bharra,40308,utilities,cash,,,
hospital bill me 35405 rupaiye kharch hua card se die,35405,healthcare,card,,,
food court payment ka khana 24526 rupaye me aaya phonepe se diyee,24526,food,upi,phonepe,,
amazon flipkart myntra online shopping order ₹13935 GPay,13935,shopping,upi,gpay,,
Car loan EMI INR 42031,42031,emi,card,,,
train ticket irctc ki ticket 47366 rupaiye me book kiya cash se,47366,travel,cash,,,
24098 rupay ka bike loan emi installment card se diyee,24098,emi,card,,,
33930 rs kharcha kiyaa pizza delivery pe card se,33930,food,card,,,
Hospital bill INR 38840,38840,healthcare,card,,,
aaj internet recharge ka 39778 rupye ka bill cash se bhra,39778,utilities,cash,,,
split bill 8876 rs. Google Pay se diy,8876,friends,upi,gpay,,
gpay payment ₹5965 College fees payment paid from account …4801,5965,education,upi,gpay,,
uber ola cab ride airport train ticket ₹12163 card,12163,travel,card,,,
medical test charges pe 49649 rupye kharch hui davai pe paytm se,49649,healthcare,upi,paytm,,
Mobile recharge INR 3382,3382,utilities,upi,paytm,,
movie ticket booking ka ticket 17301 rupaiye me liyaa cash se,17301,entertainment,cash,,,
aaj restaurant bill se khana order kiyaa 34963 rupaiye cash se diy,34963,food,cash,,,
school college tuition course books fees ₹39658 phonepe,39658,education,upi,phonepe,,
uber ride ka kiraya 17611 rupay die GPay se,17611,travel,upi,gpay,,
Clothing store bill INR 3689,3689,shopping,card,,,
hospital bill me 10799 rupye kharchaa hua BHIM se diy,10799,healthcare,upi,bhim,,
"pizza delivery pe 4807 ka bill tha, cash se pay kia",4807,food,cash,,,
netflix subscription ka ticket 20240 rupay me lia cash se,20240,entertainment,cash,,,
padhai ke liye online course subscription pe 38784 rs kharcha kiyaa card se,38784,education,card,,,
pharmacy medicine purchase pe 16569 rs. karcha hui davai pe Paytm se,16569,healthcare,upi,paytm,,
Fixed deposit investment INR 11736,11736,investment,upi,cred,,
bus ticket ka kiraya 9334 rupye diye card se,9334,travel,card,,,
32963 rupaye ka order diy amazon purchase pe Phone Pe se,32963,shopping,upi,phonepe,,
restaurant bill me 6438 rs. ka khana khya cash se,6438,food,cash,,,
electricity water broadband mobile recharge bill ₹5277 card,5277,utilities,card,,,
aaj stock purchase me 34193 rs. lagaye BHIM se,34193,investment,upi,bhim,,
hospital doctor pharmacy medicine diagnostic ₹28270 card,28270,healthcare,card,,,
lunch dinner food order swiggy zomato restaurant meal ₹41159 card,41159,food,card,,,
Amazon purchase INR 2165,2165,shopping,upi,bhim,,
electricity water broadband mobile recharge bill ₹29124 GPay,29124,utilities,upi,gpay,,
credit card emi ki EMI 42065 rupaye bhim se bhra,42065,emi,upi,bhim,,
bike loan emi ki EMI 16366 rupaiye paytm se bhara,16366,emi,upi,paytm,,
paid back friend lent money ₹1900 Paytm,1900,friends,upi,paytm,,
Personal loan installment INR 22896,22896,emi,upi,phonepe,,
netflix spotify hotstar subscription movie show ₹24539 card,24539,entertainment,card,,,
home loan car loan credit card EMI monthly ₹10898 autopay card,10898,emi,card,,,
Fixed deposit investment INR 14958,14958,investment,upi,bhim,,
loan ka credit card emi 40124 rs. card se pay kiyaa,40124,emi,card,,,
doctor ke yahan 40286 rupaiye lga bhim se diye,40286,healthcare,upi,bhim,,
Pharmacy medicine purchase INR 41993,41993,healthcare,card,,,
grocery vegetables milk bread ₹1174 paid card,1174,food,card,,,
ppf contribution ka SIP 36232 rupye card se bharaa,36232,investment,card,,,
hospital doctor pharmacy medicine diagnostic ₹34199 Phone Pe,34199,healthcare,upi,phonepe,,
split bill 21278 rupaye Google Pay se diye,21278,friends,upi,gpay,,
Online course subscription INR 11991 paid through GPay,11991,education,upi,gpay,,
school college tuition course books fees ₹26755 card,26755,education,card,,,
amazon flipkart myntra online shopping order ₹17773 card,17773,shopping,card,,,
Credit card EMI INR 44674,44674,emi,upi,gpay,,
hospital doctor pharmacy medicine diagnostic ₹15308 PhonePe,15308,healthcare,upi,phonepe,,
padhai ke liye online course subscription pe 30903 rs kharcha kya card se,30903,education,card,,,
37391 rs. ppf contribution me daale card se,37391,investment,card,,,
hospital doctor pharmacy medicine diagnostic ₹4611 PhonePe,4611,healthcare,upi,phonepe,,
₹40932 debited from your account for Library fee (Paytm UPI),40932,education,upi,paytm,,
323 rupye friend ko UPI Google Pay se transfer,323,friends,upi,gpay,,
online course subscription ka course 6406 rupaye me liya CRED se pay kiyaa,6406,education,upi,cred,,
Electricity bill payment INR 6047,6047,utilities,upi,bhim,,
netflix subscription dekha 10584 rupaiye lga cash se die,10584,entertainment,cash,,,
padhai ke liye exam fee pe 30764 rs. khrcha kya card se,30764,education,card,,,
movie ticket booking ka ticket 13215 rupaiye me liyaa card se,13215,entertainment,card,,,
Game purchase INR 44741,44741,entertainment,cash,,,
cred payment ₹49683 Game purchase,49683,entertainment,upi,cred,,
split bill 12804 rupye PhonePe se die,12804,friends,upi,phonepe,,
20320 rupye ka water bill bill pay kya cred se,20320,utilities,upi,cred,,
aaj lunch at hotel se khana order kiyaa 15243 rupaye cash se diye,15243,food,cash,,,
Medical test charges INR 18938,18938,healthcare,upi,phonepe,,
₹24980 debited from your account for Online course subscription (phonepe UPI),24980,education,upi,phonepe,,
Mutual fund SIP INR 45220,45220,investment,card,,,
petrol diesel fuel ₹39359 at pump card,39359,travel,card,,,
aaj uber ride liyaa 5985 rupaye cash se pay kiyaa,5985,travel,cash,,,
home loan emi ki EMI 23625 rupaiye card se bhara,23625,emi,card,,,
Water bill INR 30913 paid through GPay SBI 1952,30913,utilities,upi,gpay,,
petrol diesel fuel ₹22125 at pump phonepe,22125,travel,upi,phonepe,,
home loan car loan credit card EMI monthly ₹38044 autopay PhonePe,38044,emi,upi,phonepe,,
43998 rupye stock purchase me daale paytm se,43998,investment,upi,paytm,,
school college tuition course books fees ₹3778 Google Pay,3778,education,upi,gpay,,
hospital doctor pharmacy medicine diagnostic ₹37222 PhonePe,37222,healthcare,upi,phonepe,,
Phone Pe payment ₹6374 Lunch at hotel,6374,food,upi,phonepe,,
GPay payment ₹19333 Swiggy order HDFC Bank 3390,19333,food,upi,gpay,,
loan ka home loan emi 14384 rs. card se pay kiyaa,14384,emi,card,,,
₹7271 debited from your account for Gas bill payment (Google Pay UPI) SBI 8186,7271,utilities,upi,gpay,,
electricity bill payment recharge kiyaa 44217 rupaiye Paytm se,44217,utilities,upi,paytm,,
concert ticket ka ticket 46062 rupaye me liya card se,46062,entertainment,card,,,
Transaction successful — ₹46685 to Concert ticket via PhonePe UPI,46685,entertainment,upi,phonepe,,
netflix spotify hotstar subscription movie show ₹18165 Phone Pe,18165,entertainment,upi,phonepe,,
kal raat dinner split 12751 rupye Google Pay,12751,friends,upi,gpay,,
cafe coffee me 5152 rupaiye ka khana khaya cash se,5152,food,cash,,,
₹17864 debited from your account for Medical test charges (bhim UPI),17864,healthcare,upi,bhim,,
Pharmacy medicine purchase INR 34174,34174,healthcare,card,,,
phonepe payment ₹7154 Amazon purchase paid from account …4813,7154,shopping,upi,phonepe,,
Water bill INR 14249,14249,utilities,upi,cred,,
Uber ride INR 36068,36068,travel,card,,,
Doctor consultation INR 41155,41155,healthcare,upi,gpay,,
electricity water broadband mobile recharge bill ₹44952 cash,44952,utilities,cash,,,
electricity bill payment ka bill 28914 rupaiye phonepe se bharra,28914,utilities,upi,phonepe,,
Car loan EMI INR 13612,13612,emi,card,,,
Pharmacy medicine purchase INR 49333 paid through phonepe,49333,healthcare,upi,phonepe,,
19991 rs. lagaa uber ride me cash se die,19991,travel,cash,,,
Electricity bill payment INR 21656,21656,utilities,upi,gpay,,
20321 rs. ka pharmacy medicine purchase bill aaya card se pay kiya,20321,healthcare,card,,,
Transaction successful — ₹13657 to Concert ticket via phonepe UPI,13657,entertainment,upi,phonepe,,
college fees payment ka course 37224 rupye me liya paytm se pay kiya,37224,education,upi,paytm,,
hospital doctor pharmacy medicine diagnostic ₹10598 card,10598,healthcare,card,,,
school college tuition course books fees ₹23735 gpay,23735,education,upi,gpay,,
aaj gas bill payment ka 5505 rupaye ka bill cash se bharaa,5505,utilities,cash,,,
online shopping payment pe shopping kia 22158 rs. khrcha gpay se,22158,shopping,upi,gpay,,
home loan car loan credit card EMI monthly ₹16476 autopay card,16476,emi,card,,,
home loan car loan credit card EMI monthly ₹32426 autopay BHIM,32426,emi,upi,bhim,,
521 rupaiye lagaa hotel booking me Phone Pe se diy,521,travel,upi,phonepe,,
Amazon purchase INR 20376,20376,shopping,card,,,
kal raat dinner split 15831 rupay bhim,15831,friends,upi,bhim,,
electricity water broadband mobile recharge bill ₹35664 Paytm,35664,utilities,upi,paytm,,
mutual fund SIP stocks PPF FD investment ₹21999 gpay,21999,investment,upi,gpay,,
home loan car loan credit card EMI monthly ₹25173 autopay card,25173,emi,card,,,
Mobile recharge INR 19686,19686,utilities,upi,bhim,,
home loan car loan credit card EMI monthly ₹36478 autopay card,36478,emi,card,,,
Gas bill payment INR 38818,38818,utilities,card,,,
train ticket irctc ka kiraya 42085 rupaiye diy Paytm se,42085,travel,upi,paytm,,
Electronics shopping INR 32639,32639,shopping,card,,,
Internet recharge INR 29002,29002,utilities,upi,bhim,,
electricity water broadband mobile recharge bill ₹24008 CRED,24008,utilities,upi,cred,,
19841 rupaye die college fees payment ke liye cash se,19841,education,cash,,,
college fees payment ka course 14185 rupaiye me lia Paytm se pay kiya,14185,education,upi,paytm,,
30396 rupay khrcha kya netflix subscription pe card se,30396,entertainment,card,,,
Paid ₹27169 to Online course subscription using paytm,27169,education,upi,paytm,,
Mutual fund SIP INR 38918,38918,investment,card,,,
Rs. 15378 sent to flatmate rent share via Google Pay UPI,15378,friends,upi,gpay,,
